Fréquence (Hz)	Niveau (dB)
86,132812	-39,793274
172,265625	-21,663357
258,398438	-15,051332
344,531250	-13,935700
430,664062	-17,893766
516,796875	-28,529926
602,929688	-40,398628
689,062500	-43,660854
775,195312	-52,526505
861,328125	-52,260048
947,460938	-52,001865
1033,593750	-53,910847
1119,726562	-56,001369
1205,859375	-57,692654
1291,992188	-59,255756
1378,125000	-60,181843
1464,257812	-60,716488
1550,390625	-61,277283
1636,523438	-61,792992
1722,656250	-62,113338
1808,789062	-62,343933
1894,921875	-62,828362
1981,054688	-63,640926
2067,187500	-64,045006
2153,320312	-64,390472
2239,453125	-64,765404
2325,585938	-65,091087
2411,718750	-65,401176
2497,851562	-65,696732
2583,984375	-65,975685
2670,117188	-66,244240
2756,250000	-66,518211
2842,382812	-66,790138
2928,515625	-67,096161
3014,648438	-67,356224
3100,781250	-67,563599
3186,914062	-67,807335
3273,046875	-68,034256
3359,179688	-68,267380
3445,312500	-68,298523
3531,445312	-68,418076
3617,578125	-68,713745
3703,710938	-69,090988
3789,843750	-69,298615
3875,976562	-69,463676
3962,109375	-69,577255
4048,242188	-69,690475
4134,375000	-69,185326
4220,507812	-69,291710
4306,640625	-70,095604
4392,773438	-70,525658
4478,906250	-70,633369
4565,039062	-70,820686
4651,171875	-70,962753
4737,304688	-71,096794
4823,437500	-71,232353
4909,570312	-71,378372
4995,703125	-71,530922
5081,835938	-71,698921
5167,968750	-71,823677
5254,101562	-71,964905
5340,234375	-72,098495
5426,367188	-72,209114
5512,500000	-72,326736
5598,632812	-72,492310
5684,765625	-72,617462
5770,898438	-72,767120
5857,031250	-72,876198
5943,164062	-73,042282
6029,296875	-73,128532
6115,429688	-73,286934
6201,562500	-73,425194
6287,695312	-73,518921
6373,828125	-73,633156
6459,960938	-73,793480
6546,093750	-73,831657
6632,226562	-73,942223
6718,359375	-74,014816
6804,492188	-74,078926
6890,625000	-74,134682
6976,757812	-74,202423
7062,890625	-74,269020
7149,023438	-74,371101
7235,156250	-74,405983
7321,289062	-74,424248
7407,421875	-74,398514
7493,554688	-74,532921
7579,687500	-74,641914
7665,820312	-74,730476
7751,953125	-74,837509
7838,085938	-74,889015
7924,218750	-74,972672
8010,351562	-74,928032
8096,484375	-75,042282
8182,617188	-75,413834
8268,750000	-75,555870
8354,882812	-75,607437
8441,015625	-75,567436
8527,148438	-75,526077
8613,281250	-75,577354
8699,414062	-75,606804
8785,546875	-75,682297
8871,679688	-75,701149
8957,812500	-75,761711
9043,945312	-75,816223
9130,078125	-75,825256
9216,210938	-75,897316
9302,343750	-75,978882
9388,476562	-76,075264
9474,609375	-76,064392
9560,742188	-76,150261
9646,875000	-76,235992
9733,007812	-76,246696
9819,140625	-76,343681
9905,273438	-76,393974
9991,406250	-76,415375
10077,539062	-76,507286
10163,671875	-76,544281
10249,804688	-76,606361
10335,937500	-76,645607
10422,070312	-76,668686
10508,203125	-76,696709
10594,335938	-76,777573
10680,468750	-76,784706
10766,601562	-76,812828
10852,734375	-76,902016
10938,867188	-76,907211
11025,000000	-77,010841
11111,132812	-77,107956
11197,265625	-77,112732
11283,398438	-77,140404
11369,531250	-77,259750
11455,664062	-77,313622
11541,796875	-77,334732
11627,929688	-77,407532
11714,062500	-77,481781
11800,195312	-77,472481
11886,328125	-77,416237
11972,460938	-77,415031
12058,593750	-77,465805
12144,726562	-77,611992
12230,859375	-77,661095
12316,992188	-77,670601
12403,125000	-77,744766
12489,257812	-77,773010
12575,390625	-77,850967
12661,523438	-77,887375
12747,656250	-77,886116
12833,789062	-77,993164
12919,921875	-78,010414
13006,054688	-78,099037
13092,187500	-78,112526
13178,320312	-78,090897
13264,453125	-78,224182
13350,585938	-78,186539
13436,718750	-78,246498
13522,851562	-78,277176
13608,984375	-78,357460
13695,117188	-78,303192
13781,250000	-78,426445
13867,382812	-78,446281
13953,515625	-78,532661
14039,648438	-78,569130
14125,781250	-78,551041
14211,914062	-78,664352
14298,046875	-78,665367
14384,179688	-78,628181
14470,312500	-78,684891
14556,445312	-78,772209
14642,578125	-78,740707
14728,710938	-78,783424
14814,843750	-78,782211
14900,976562	-78,853462
14987,109375	-79,301796
15073,242188	-79,840004
15159,375000	-79,905457
