Fréquence (Hz)	Niveau (dB)
86,132812	-39,023392
172,265625	-18,432566
258,398438	-10,753902
344,531250	-10,991207
430,664062	-21,234846
516,796875	-34,832767
602,929688	-51,616287
689,062500	-49,864475
775,195312	-49,576721
861,328125	-48,698971
947,460938	-48,523655
1033,593750	-52,534210
1119,726562	-55,435478
1205,859375	-56,604256
1291,992188	-57,368309
1378,125000	-57,950420
1464,257812	-58,386562
1550,390625	-58,907703
1636,523438	-59,425560
1722,656250	-59,950310
1808,789062	-60,022308
1894,921875	-55,120697
1981,054688	-55,873024
2067,187500	-61,365955
2153,320312	-62,037392
2239,453125	-62,378414
2325,585938	-62,704483
2411,718750	-63,067272
2497,851562	-63,362221
2583,984375	-63,618919
2670,117188	-63,885601
2756,250000	-64,146370
2842,382812	-64,393639
2928,515625	-64,713333
3014,648438	-64,974945
3100,781250	-65,208313
3186,914062	-65,480293
3273,046875	-65,696739
3359,179688	-65,897041
3445,312500	-66,095116
3531,445312	-66,134041
3617,578125	-66,193512
3703,710938	-66,208588
3789,843750	-66,317558
3875,976562	-66,861450
3962,109375	-67,183075
4048,242188	-67,260971
4134,375000	-66,472321
4220,507812	-66,529243
4306,640625	-67,795578
4392,773438	-68,159409
4478,906250	-68,332474
4565,039062	-68,493050
4651,171875	-68,663315
4737,304688	-68,788704
4823,437500	-68,936920
4909,570312	-69,095924
4995,703125	-69,247093
5081,835938	-69,382996
5167,968750	-69,522972
5254,101562	-69,660484
5340,234375	-69,780380
5426,367188	-69,909035
5512,500000	-70,051926
5598,632812	-70,176758
5684,765625	-70,306717
5770,898438	-70,455788
5857,031250	-70,577225
5943,164062	-70,700104
6029,296875	-70,834221
6115,429688	-70,953857
6201,562500	-71,093231
6287,695312	-71,203255
6373,828125	-71,309883
6459,960938	-71,421394
6546,093750	-71,528961
6632,226562	-71,623726
6718,359375	-71,698708
6804,492188	-71,789818
6890,625000	-71,877441
6976,757812	-71,951645
7062,890625	-72,037445
7149,023438	-72,136093
7235,156250	-72,179970
7321,289062	-72,278061
7407,421875	-72,327263
7493,554688	-72,375671
7579,687500	-72,460854
7665,820312	-72,579788
7751,953125	-72,693092
7838,085938	-72,757767
7924,218750	-72,821045
8010,351562	-72,703209
8096,484375	-72,660385
8182,617188	-73,132767
8268,750000	-73,290237
8354,882812	-73,367859
8441,015625	-73,343277
8527,148438	-73,388252
8613,281250	-73,424400
8699,414062	-73,471619
8785,546875	-73,523216
8871,679688	-73,599281
8957,812500	-73,678703
9043,945312	-73,699951
9130,078125	-73,787323
9216,210938	-73,854324
9302,343750	-73,920998
9388,476562	-73,947563
9474,609375	-74,034157
9560,742188	-74,089775
9646,875000	-74,129753
9733,007812	-74,210243
9819,140625	-74,269897
9905,273438	-74,324860
9991,406250	-74,402306
10077,539062	-74,427704
10163,671875	-74,506546
10249,804688	-74,546661
10335,937500	-74,601974
10422,070312	-74,663589
10508,203125	-74,683044
10594,335938	-74,784821
10680,468750	-74,752960
10766,601562	-74,864990
10852,734375	-74,931236
10938,867188	-74,922112
11025,000000	-74,993217
11111,132812	-75,080673
11197,265625	-75,106506
11283,398438	-75,177834
11369,531250	-75,205322
11455,664062	-75,249878
11541,796875	-75,315025
11627,929688	-75,388390
11714,062500	-75,439850
11800,195312	-75,456329
11886,328125	-75,448769
11972,460938	-75,303123
12058,593750	-75,499168
12144,726562	-75,660400
12230,859375	-75,670219
12316,992188	-75,747345
12403,125000	-75,748665
12489,257812	-75,821198
12575,390625	-75,846924
12661,523438	-75,917503
12747,656250	-75,901573
12833,789062	-76,008179
12919,921875	-76,017944
13006,054688	-76,052788
13092,187500	-76,125755
13178,320312	-76,124809
13264,453125	-76,198723
13350,585938	-76,212563
13436,718750	-76,258698
13522,851562	-76,294334
13608,984375	-76,318695
13695,117188	-76,378189
13781,250000	-76,387634
13867,382812	-76,464256
13953,515625	-76,480652
14039,648438	-76,542664
14125,781250	-76,563622
14211,914062	-76,587402
14298,046875	-76,621384
14384,179688	-76,644554
14470,312500	-76,704620
14556,445312	-76,718925
14642,578125	-76,732590
14728,710938	-76,805267
14814,843750	-76,785782
14900,976562	-76,854782
14987,109375	-77,140114
15073,242188	-77,455093
15159,375000	-77,499382
15245,507812	-77,528801
15331,640625	-77,553284
15417,773438	-77,583832
15503,906250	-77,607666
15590,039062	-77,638115
15676,171875	-77,663155
15762,304688	-77,687363
15848,437500	-77,716187
15934,570312	-77,737816
16020,703125	-77,765160
16106,835938	-77,787155
16192,968750	-77,812813
16279,101562	-77,834389
16365,234375	-77,858940
16451,367188	-77,881218
16537,500000	-77,902008
16623,632812	-77,924988
16709,765625	-77,947197
16795,898438	-77,968010
16882,031250	-77,988174
16968,164062	-78,010231
17054,296875	-78,028580
17140,429688	-78,048546
17226,562500	-78,069641
17312,695312	-78,086639
17398,828125	-78,105255
17484,960938	-78,123528
17571,093750	-78,141464
17657,226562	-78,158653
17743,359375	-78,174782
17829,492188	-78,193207
17915,625000	-78,209473
18001,757812	-78,224350
18087,890625	-78,241089
18174,023438	-78,256439
18260,156250	-78,270981
18346,289062	-78,286064
18432,421875	-78,299675
18518,554688	-78,312210
18604,687500	-78,328384
18690,820312	-78,340073
18776,953125	-78,352707
18863,085938	-78,365112
18949,218750	-78,377846
19035,351562	-78,389282
19121,484375	-78,401566
19207,617188	-78,412270
19293,750000	-78,422836
19379,882812	-78,434273
19466,015625	-78,443100
19552,148438	-78,453316
19638,281250	-78,462547
19724,414062	-78,471970
19810,546875	-78,479195
19896,679688	-78,490074
19982,812500	-78,495514
20068,945312	-78,505661
20155,078125	-78,513107
20241,210938	-78,516525
20327,343750	-78,530220
20413,476562	-78,529778
20499,609375	-78,541054
20585,742188	-78,542740
20671,875000	-78,549690
20758,007812	-78,555298
20844,140625	-78,558334
20930,273438	-78,564819
21016,406250	-78,567734
21102,539062	-78,571716
21188,671875	-78,574280
21274,804688	-78,578972
21360,937500	-78,581253
21447,070312	-78,583328
21533,203125	-78,586594
21619,335938	-78,587166
21705,468750	-78,589584
21791,601562	-78,589783
21877,734375	-78,590317
21963,867188	-78,591988
