Fréquence (Hz)	Niveau (dB)
86,132812	-36,823040
172,265625	-18,273447
258,398438	-11,196147
344,531250	-11,813607
430,664062	-20,730963
516,796875	-32,528465
602,929688	-50,728420
689,062500	-50,446430
775,195312	-50,017677
861,328125	-49,203396
947,460938	-49,035313
1033,593750	-52,428608
1119,726562	-55,787788
1205,859375	-57,212208
1291,992188	-58,159779
1378,125000	-58,743835
1464,257812	-59,151379
1550,390625	-59,842636
1636,523438	-60,209606
1722,656250	-60,711292
1808,789062	-60,007374
1894,921875	-51,889790
1981,054688	-51,971199
2067,187500	-61,095566
2153,320312	-62,825287
2239,453125	-63,166710
2325,585938	-63,524937
2411,718750	-63,826935
2497,851562	-64,153435
2583,984375	-64,403076
2670,117188	-64,507378
2756,250000	-64,645935
2842,382812	-64,923935
2928,515625	-65,397118
3014,648438	-65,715782
3100,781250	-66,012138
3186,914062	-66,241470
3273,046875	-66,511292
3359,179688	-66,688530
3445,312500	-66,812088
3531,445312	-66,752274
3617,578125	-66,529663
3703,710938	-65,690781
3789,843750	-64,943169
3875,976562	-66,589523
3962,109375	-67,595482
4048,242188	-67,797333
4134,375000	-67,038071
4220,507812	-67,268661
4306,640625	-68,588387
4392,773438	-68,932747
4478,906250	-69,136459
4565,039062	-69,270538
4651,171875	-69,422928
4737,304688	-69,604080
4823,437500	-69,710930
4909,570312	-69,878761
4995,703125	-70,042122
5081,835938	-70,168846
5167,968750	-70,320816
5254,101562	-70,446800
5340,234375	-70,558754
5426,367188	-70,695160
5512,500000	-70,846283
5598,632812	-70,951492
5684,765625	-71,089996
5770,898438	-71,236519
5857,031250	-71,364166
5943,164062	-71,491806
6029,296875	-71,619011
6115,429688	-71,757980
6201,562500	-71,878960
6287,695312	-71,985580
6373,828125	-72,117104
6459,960938	-72,224228
6546,093750	-72,291443
6632,226562	-72,416283
6718,359375	-72,491547
6804,492188	-72,584473
6890,625000	-72,649818
6976,757812	-72,748276
7062,890625	-72,811554
7149,023438	-72,880630
7235,156250	-72,993607
7321,289062	-73,012802
7407,421875	-73,106140
7493,554688	-73,126266
7579,687500	-73,199394
7665,820312	-73,346443
7751,953125	-73,424721
7838,085938	-73,502754
7924,218750	-73,588654
8010,351562	-73,415054
8096,484375	-73,370262
8182,617188	-73,950989
8268,750000	-74,098076
8354,882812	-74,111710
8441,015625	-74,134613
8527,148438	-74,133995
8613,281250	-74,190117
8699,414062	-74,228165
8785,546875	-74,259697
8871,679688	-74,355072
8957,812500	-74,408752
9043,945312	-74,473053
9130,078125	-74,516449
9216,210938	-74,589531
9302,343750	-74,635117
9388,476562	-74,714027
9474,609375	-74,762131
9560,742188	-74,841164
9646,875000	-74,838249
9733,007812	-74,956139
9819,140625	-75,014938
9905,273438	-75,067238
9991,406250	-75,126831
