Fréquence (Hz)	Niveau (dB)
86,132812	-39,987541
172,265625	-22,407782
258,398438	-15,047659
344,531250	-13,515401
430,664062	-18,071402
516,796875	-29,008543
602,929688	-42,702736
689,062500	-46,061474
775,195312	-52,784695
861,328125	-52,541115
947,460938	-52,315620
1033,593750	-54,130669
1119,726562	-56,006084
1205,859375	-57,769028
1291,992188	-59,306267
1378,125000	-60,290707
1464,257812	-60,700726
1550,390625	-61,269379
1636,523438	-61,844349
1722,656250	-62,177940
1808,789062	-62,331936
1894,921875	-62,556889
1981,054688	-63,598949
2067,187500	-64,130867
2153,320312	-64,478569
2239,453125	-64,829369
2325,585938	-65,188614
2411,718750	-65,468071
2497,851562	-65,780273
2583,984375	-66,025955
2670,117188	-66,306313
2756,250000	-66,561012
2842,382812	-66,837944
2928,515625	-67,161804
3014,648438	-67,427620
3100,781250	-67,647987
3186,914062	-67,842964
3273,046875	-68,105499
3359,179688	-68,342438
3445,312500	-68,383629
3531,445312	-68,415382
3617,578125	-68,864227
3703,710938	-69,149033
3789,843750	-69,351212
3875,976562	-69,514885
3962,109375	-69,638931
4048,242188	-69,760056
4134,375000	-69,332962
4220,507812	-69,237030
4306,640625	-70,169174
4392,773438	-70,581841
4478,906250	-70,693535
4565,039062	-70,868576
4651,171875	-71,025658
4737,304688	-71,161362
4823,437500	-71,279945
4909,570312	-71,452545
4995,703125	-71,561562
5081,835938	-71,725708
5167,968750	-71,911400
5254,101562	-72,026077
5340,234375	-72,151291
5426,367188	-72,280457
5512,500000	-72,378700
5598,632812	-72,525475
5684,765625	-72,706741
5770,898438	-72,821770
5857,031250	-72,953590
5943,164062	-73,072006
6029,296875	-73,229965
6115,429688	-73,353447
6201,562500	-73,456116
6287,695312	-73,631126
6373,828125	-73,695953
6459,960938	-73,832230
6546,093750	-73,917618
6632,226562	-74,005005
6718,359375	-74,085938
6804,492188	-74,137665
6890,625000	-74,194725
6976,757812	-74,211647
7062,890625	-74,326401
7149,023438	-74,430908
7235,156250	-74,454803
7321,289062	-74,458969
7407,421875	-74,461586
7493,554688	-74,523880
7579,687500	-74,663124
7665,820312	-74,774498
7751,953125	-74,874855
7838,085938	-74,922310
7924,218750	-74,952873
8010,351562	-75,017410
8096,484375	-75,045082
8182,617188	-75,428169
8268,750000	-75,640350
8354,882812	-75,631241
8441,015625	-75,600464
8527,148438	-75,566971
8613,281250	-75,608688
8699,414062	-75,624046
8785,546875	-75,666710
8871,679688	-75,701157
8957,812500	-75,772881
9043,945312	-75,781853
9130,078125	-75,822594
9216,210938	-75,928200
9302,343750	-75,920227
9388,476562	-76,066277
9474,609375	-76,093086
9560,742188	-76,142960
9646,875000	-76,230026
9733,007812	-76,265564
9819,140625	-76,383858
9905,273438	-76,337921
9991,406250	-76,439583
10077,539062	-76,442902
10163,671875	-76,553398
10249,804688	-76,582718
10335,937500	-76,615654
10422,070312	-76,690582
10508,203125	-76,691811
10594,335938	-76,761826
10680,468750	-76,719109
10766,601562	-76,806511
10852,734375	-76,836006
10938,867188	-76,888641
11025,000000	-76,977615
11111,132812	-77,049377
11197,265625	-77,086792
11283,398438	-77,174637
11369,531250	-77,235931
11455,664062	-77,289062
11541,796875	-77,382240
11627,929688	-77,428619
11714,062500	-77,497070
11800,195312	-77,455666
11886,328125	-77,443718
11972,460938	-77,380661
12058,593750	-77,527176
12144,726562	-77,550789
12230,859375	-77,655830
12316,992188	-77,681641
12403,125000	-77,724861
12489,257812	-77,750038
12575,390625	-77,829849
12661,523438	-77,868942
12747,656250	-77,893456
12833,789062	-77,953522
12919,921875	-78,032593
13006,054688	-78,049759
13092,187500	-78,130409
13178,320312	-78,114098
13264,453125	-78,134232
13350,585938	-78,186073
13436,718750	-78,220154
13522,851562	-78,236336
13608,984375	-78,314339
13695,117188	-78,331940
13781,250000	-78,377960
13867,382812	-78,394691
13953,515625	-78,520699
14039,648438	-78,544945
14125,781250	-78,566170
14211,914062	-78,594002
14298,046875	-78,651146
14384,179688	-78,677040
14470,312500	-78,639053
14556,445312	-78,757805
14642,578125	-78,737640
14728,710938	-78,747055
14814,843750	-78,796432
14900,976562	-78,834793
14987,109375	-79,325691
15073,242188	-79,929688
15159,375000	-79,991936
15245,507812	-80,020020
15331,640625	-80,047333
15417,773438	-80,075584
15503,906250	-80,102211
15590,039062	-80,126686
15676,171875	-80,156845
15762,304688	-80,180717
15848,437500	-80,207115
15934,570312	-80,230919
16020,703125	-80,254730
16106,835938	-80,282326
16192,968750	-80,303810
16279,101562	-80,328178
16365,234375	-80,350754
16451,367188	-80,374115
16537,500000	-80,393753
16623,632812	-80,418556
16709,765625	-80,441528
16795,898438	-80,459496
16882,031250	-80,480148
16968,164062	-80,502045
17054,296875	-80,522476
17140,429688	-80,541550
17226,562500	-80,560562
17312,695312	-80,579628
17398,828125	-80,596764
17484,960938	-80,617905
17571,093750	-80,633423
17657,226562	-80,652458
17743,359375	-80,668694
17829,492188	-80,684402
17915,625000	-80,700912
18001,757812	-80,718208
18087,890625	-80,735054
18174,023438	-80,748306
18260,156250	-80,762703
18346,289062	-80,778610
18432,421875	-80,791916
18518,554688	-80,806969
18604,687500	-80,819916
18690,820312	-80,832794
18776,953125	-80,845886
18863,085938	-80,859253
18949,218750	-80,868317
19035,351562	-80,884872
19121,484375	-80,893219
19207,617188	-80,904442
19293,750000	-80,916077
19379,882812	-80,927109
19466,015625	-80,936272
19552,148438	-80,947174
19638,281250	-80,954041
19724,414062	-80,964096
19810,546875	-80,974602
19896,679688	-80,981773
19982,812500	-80,988876
20068,945312	-80,998558
20155,078125	-81,003647
20241,210938	-81,011658
20327,343750	-81,020233
20413,476562	-81,025871
20499,609375	-81,030731
20585,742188	-81,036362
20671,875000	-81,042503
20758,007812	-81,046974
20844,140625	-81,054504
20930,273438	-81,055550
21016,406250	-81,060966
21102,539062	-81,064667
21188,671875	-81,068352
21274,804688	-81,070488
21360,937500	-81,076157
21447,070312	-81,074890
21533,203125	-81,079483
21619,335938	-81,080162
21705,468750	-81,080246
21791,601562	-81,084213
21877,734375	-81,084343
21963,867188	-81,083946
