Fréquence (Hz)	Niveau (dB)
86,132812	-28,647440
172,265625	-18,013412
258,398438	-12,857066
344,531250	-14,391940
430,664062	-19,406233
516,796875	-28,255308
602,929688	-43,564564
689,062500	-47,127457
775,195312	-47,816761
861,328125	-50,972752
947,460938	-53,297409
1033,593750	-55,079967
1119,726562	-56,848309
1205,859375	-58,459835
1291,992188	-59,452881
1378,125000	-60,099411
1464,257812	-60,663254
1550,390625	-61,532269
1636,523438	-62,037300
1722,656250	-62,122807
1808,789062	-51,462132
1894,921875	-41,282551
1981,054688	-42,055794
2067,187500	-54,629555
2153,320312	-64,204819
2239,453125	-64,718445
2325,585938	-64,781898
2411,718750	-64,561836
2497,851562	-63,419903
2583,984375	-61,099411
2670,117188	-56,364296
2756,250000	-55,918682
2842,382812	-56,136761
2928,515625	-58,880573
3014,648438	-60,978783
3100,781250	-62,998562
3186,914062	-65,711884
3273,046875	-65,971985
3359,179688	-64,647995
3445,312500	-61,442261
3531,445312	-57,772484
3617,578125	-55,302410
3703,710938	-52,303871
3789,843750	-50,794899
3875,976562	-53,883423
3962,109375	-56,160152
4048,242188	-58,246849
4134,375000	-61,178429
4220,507812	-63,929771
4306,640625	-65,554420
4392,773438	-65,325287
4478,906250	-67,667717
4565,039062	-70,093483
4651,171875	-70,567986
4737,304688	-70,109367
4823,437500	-70,151772
4909,570312	-71,166077
4995,703125	-71,623802
5081,835938	-71,813454
5167,968750	-71,937500
5254,101562	-71,912544
5340,234375	-71,777359
5426,367188	-72,023605
5512,500000	-72,207123
5598,632812	-72,472130
5684,765625	-72,672112
5770,898438	-72,874237
5857,031250	-73,043312
5943,164062	-73,149628
6029,296875	-73,303207
6115,429688	-73,452446
6201,562500	-73,573807
6287,695312	-73,681816
6373,828125	-73,787025
6459,960938	-73,610687
6546,093750	-72,763382
6632,226562	-72,246681
6718,359375	-72,600342
6804,492188	-73,121811
6890,625000	-73,323853
6976,757812	-72,709518
7062,890625	-72,755341
7149,023438	-73,252777
7235,156250	-73,278061
7321,289062	-72,699493
7407,421875	-71,533699
7493,554688	-70,714859
7579,687500	-71,119148
7665,820312	-72,298882
7751,953125	-73,218407
7838,085938	-73,716431
7924,218750	-73,551270
8010,351562	-73,175377
8096,484375	-73,330734
8182,617188	-74,163857
8268,750000	-74,558052
8354,882812	-74,626846
8441,015625	-74,337753
8527,148438	-73,290726
8613,281250	-72,096130
8699,414062	-71,663322
8785,546875	-71,871140
8871,679688	-72,670311
8957,812500	-73,798805
9043,945312	-74,480171
9130,078125	-74,803574
9216,210938	-74,790085
9302,343750	-75,077477
9388,476562	-75,327377
9474,609375	-75,500938
9560,742188	-75,695908
9646,875000	-75,936050
9733,007812	-76,170235
9819,140625	-76,374023
9905,273438	-76,454849
9991,406250	-76,507683
10077,539062	-76,620140
10163,671875	-76,641716
10249,804688	-76,619453
10335,937500	-76,643890
10422,070312	-76,616867
10508,203125	-76,718117
10594,335938	-76,661949
10680,468750	-76,759193
10766,601562	-76,713272
10852,734375	-76,756325
10938,867188	-77,021202
11025,000000	-77,175583
11111,132812	-77,266388
11197,265625	-77,344849
11283,398438	-77,401680
11369,531250	-77,400360
11455,664062	-77,511513
11541,796875	-77,532684
11627,929688	-77,625175
11714,062500	-77,683502
11800,195312	-77,700943
11886,328125	-77,518028
11972,460938	-77,547577
12058,593750	-77,736488
12144,726562	-77,833168
12230,859375	-77,958763
12316,992188	-77,917580
12403,125000	-78,019279
12489,257812	-77,981918
12575,390625	-78,079201
12661,523438	-78,101166
12747,656250	-78,182755
12833,789062	-78,175705
12919,921875	-78,279449
13006,054688	-78,282608
13092,187500	-78,353073
13178,320312	-78,351532
13264,453125	-78,425102
13350,585938	-78,472336
13436,718750	-78,489037
13522,851562	-78,523392
13608,984375	-78,614426
13695,117188	-78,640533
13781,250000	-78,658371
13867,382812	-78,746384
13953,515625	-78,767296
14039,648438	-78,789635
14125,781250	-78,849930
14211,914062	-78,828896
14298,046875	-78,901642
14384,179688	-78,865967
14470,312500	-78,935272
14556,445312	-78,992828
14642,578125	-78,996864
14728,710938	-79,064651
14814,843750	-79,075317
14900,976562	-79,094284
14987,109375	-79,537216
15073,242188	-80,025520
15159,375000	-80,078560
15245,507812	-80,110413
15331,640625	-80,135986
15417,773438	-80,164665
15503,906250	-80,191307
15590,039062	-80,215485
15676,171875	-80,247032
15762,304688	-80,268776
15848,437500	-80,294418
15934,570312	-80,323990
16020,703125	-80,344368
16106,835938	-80,369385
16192,968750	-80,394295
16279,101562	-80,415619
16365,234375	-80,441772
16451,367188	-80,461456
16537,500000	-80,486877
16623,632812	-80,504517
16709,765625	-80,528450
16795,898438	-80,551155
16882,031250	-80,568680
16968,164062	-80,593788
17054,296875	-80,610428
17140,429688	-80,629814
17226,562500	-80,650909
17312,695312	-80,667000
17398,828125	-80,688538
17484,960938	-80,705933
17571,093750	-80,722649
17657,226562	-80,741074
17743,359375	-80,757233
17829,492188	-80,776199
17915,625000	-80,790268
18001,757812	-80,805702
18087,890625	-80,823326
18174,023438	-80,837738
18260,156250	-80,853867
18346,289062	-80,865822
18432,421875	-80,881340
18518,554688	-80,898300
18604,687500	-80,905212
18690,820312	-80,926376
18776,953125	-80,933533
18863,085938	-80,947021
18949,218750	-80,961105
19035,351562	-80,968506
19121,484375	-80,985420
19207,617188	-80,993370
19293,750000	-81,003014
19379,882812	-81,018349
19466,015625	-81,023628
19552,148438	-81,036499
19638,281250	-81,043953
19724,414062	-81,053940
19810,546875	-81,064392
19896,679688	-81,067390
19982,812500	-81,081329
20068,945312	-81,087051
20155,078125	-81,091263
20241,210938	-81,103783
20327,343750	-81,107491
20413,476562	-81,114975
20499,609375	-81,119263
20585,742188	-81,128098
20671,875000	-81,130714
20758,007812	-81,135666
20844,140625	-81,142960
20930,273438	-81,145454
21016,406250	-81,148376
21102,539062	-81,155807
21188,671875	-81,156258
21274,804688	-81,161858
21360,937500	-81,161911
21447,070312	-81,166168
21533,203125	-81,167816
21619,335938	-81,167969
21705,468750	-81,173531
21791,601562	-81,168762
21877,734375	-81,173950
21963,867188	-81,174370
