Fréquence (Hz)	Niveau (dB)
86,132812	-26,104218
172,265625	-25,276844
258,398438	-25,623697
344,531250	-28,709785
430,664062	-30,544212
516,796875	-34,589638
602,929688	-41,339443
689,062500	-44,271461
775,195312	-42,715000
861,328125	-43,705872
947,460938	-46,827763
1033,593750	-47,034828
1119,726562	-47,204422
1205,859375	-48,796173
1291,992188	-49,690277
1378,125000	-51,765072
1464,257812	-52,734547
1550,390625	-51,873459
1636,523438	-51,198761
1722,656250	-50,526894
1808,789062	-48,104382
1894,921875	-45,113277
1981,054688	-45,102112
2067,187500	-49,141689
2153,320312	-53,707710
2239,453125	-55,405418
2325,585938	-54,401394
2411,718750	-51,418987
2497,851562	-49,900841
2583,984375	-49,689728
2670,117188	-48,528255
2756,250000	-48,003380
2842,382812	-48,103546
2928,515625	-48,844086
3014,648438	-50,018852
3100,781250	-50,659805
3186,914062	-51,428654
3273,046875	-51,473686
3359,179688	-50,800976
3445,312500	-49,410736
3531,445312	-47,820030
3617,578125	-46,979202
3703,710938	-46,870319
3789,843750	-46,115723
3875,976562	-45,338181
3962,109375	-45,603970
4048,242188	-46,660648
4134,375000	-47,301632
4220,507812	-47,329880
4306,640625	-46,903755
4392,773438	-45,678249
4478,906250	-46,664116
4565,039062	-48,913883
4651,171875	-51,322350
4737,304688	-50,220196
4823,437500	-49,428436
4909,570312	-50,027321
4995,703125	-51,409710
5081,835938	-52,683300
5167,968750	-53,655964
5254,101562	-52,865891
5340,234375	-51,292198
5426,367188	-51,092205
5512,500000	-53,404457
5598,632812	-53,654465
5684,765625	-53,991051
5770,898438	-55,348362
5857,031250	-56,867966
5943,164062	-58,984608
6029,296875	-60,720421
6115,429688	-61,309422
6201,562500	-60,566166
6287,695312	-59,424126
6373,828125	-57,331924
6459,960938	-54,855434
6546,093750	-51,723976
6632,226562	-49,739899
6718,359375	-49,572109
6804,492188	-50,225269
6890,625000	-50,447575
6976,757812	-48,855740
7062,890625	-46,812866
7149,023438	-46,285854
7235,156250	-46,750225
7321,289062	-46,814896
7407,421875	-47,014957
7493,554688	-47,485386
7579,687500	-47,735584
7665,820312	-48,291275
7751,953125	-49,686852
7838,085938	-51,595039
7924,218750	-53,299011
8010,351562	-55,114513
8096,484375	-57,633442
8182,617188	-59,731731
8268,750000	-60,976456
8354,882812	-59,896187
8441,015625	-57,533375
8527,148438	-55,030418
8613,281250	-52,994728
8699,414062	-51,333607
8785,546875	-50,770966
8871,679688	-50,515316
8957,812500	-50,067032
9043,945312	-50,162483
9130,078125	-50,509338
9216,210938	-50,738525
9302,343750	-50,690571
9388,476562	-50,778366
9474,609375	-50,685345
9560,742188	-50,394985
9646,875000	-50,797268
9733,007812	-51,278610
9819,140625	-51,783684
9905,273438	-51,942871
9991,406250	-52,506035
10077,539062	-52,911179
10163,671875	-53,020378
10249,804688	-52,473015
10335,937500	-52,441395
10422,070312	-52,443176
10508,203125	-51,978600
10594,335938	-51,999344
10680,468750	-52,126358
10766,601562	-52,507980
10852,734375	-52,587944
10938,867188	-53,222340
11025,000000	-55,136105
11111,132812	-56,889465
11197,265625	-58,695660
11283,398438	-61,599487
11369,531250	-65,958572
11455,664062	-69,822990
11541,796875	-70,790276
11627,929688	-68,591705
11714,062500	-66,154953
11800,195312	-64,644569
11886,328125	-63,747105
11972,460938	-62,832802
12058,593750	-62,614864
12144,726562	-62,739014
12230,859375	-63,569668
12316,992188	-64,775932
12403,125000	-66,188042
12489,257812	-67,732681
12575,390625	-68,646713
12661,523438	-69,582664
12747,656250	-71,934502
12833,789062	-74,988617
12919,921875	-78,386864
13006,054688	-78,677803
13092,187500	-76,950836
13178,320312	-75,318550
13264,453125	-75,441551
13350,585938	-75,764000
13436,718750	-75,534279
13522,851562	-75,421478
13608,984375	-75,896538
13695,117188	-76,706436
13781,250000	-78,460365
13867,382812	-80,540115
13953,515625	-82,359718
14039,648438	-83,524673
14125,781250	-82,999832
14211,914062	-83,350380
14298,046875	-83,322563
14384,179688	-84,308533
14470,312500	-84,798935
14556,445312	-84,969406
14642,578125	-85,077751
14728,710938	-85,105652
14814,843750	-85,271584
14900,976562	-85,472206
14987,109375	-87,077209
15073,242188	-89,549561
15159,375000	-89,894760
15245,507812	-89,949440
15331,640625	-89,981255
15417,773438	-90,015930
15503,906250	-90,042534
15590,039062	-90,083511
15676,171875	-90,115295
15762,304688	-90,143440
15848,437500	-90,174828
15934,570312	-90,204239
16020,703125	-90,239517
16106,835938	-90,260918
16192,968750	-90,290779
16279,101562	-90,316315
16365,234375	-90,349792
16451,367188	-90,368057
16537,500000	-90,403336
16623,632812	-90,424950
16709,765625	-90,448013
16795,898438	-90,475281
16882,031250	-90,498039
16968,164062	-90,521408
17054,296875	-90,543327
17140,429688	-90,568954
17226,562500	-90,585953
17312,695312	-90,610191
17398,828125	-90,637596
17484,960938	-90,648041
17571,093750	-90,670212
17657,226562	-90,691795
17743,359375	-90,717484
17829,492188	-90,724380
17915,625000	-90,751076
18001,757812	-90,767792
18087,890625	-90,783203
18174,023438	-90,804726
18260,156250	-90,817764
18346,289062	-90,837593
18432,421875	-90,846535
18518,554688	-90,868713
18604,687500	-90,882065
18690,820312	-90,892883
18776,953125	-90,910675
18863,085938	-90,926407
18949,218750	-90,940094
19035,351562	-90,948921
19121,484375	-90,962791
19207,617188	-90,978302
19293,750000	-90,984650
