Fréquence (Hz)	Niveau (dB)
86,132812	-40,151638
172,265625	-21,019258
258,398438	-14,513575
344,531250	-14,486910
430,664062	-19,827225
516,796875	-29,931190
602,929688	-38,134888
689,062500	-40,397896
775,195312	-51,009769
861,328125	-52,450642
947,460938	-52,204849
1033,593750	-54,953495
1119,726562	-57,140549
1205,859375	-58,445541
1291,992188	-59,244637
1378,125000	-60,021835
1464,257812	-60,575291
1550,390625	-61,092136
1636,523438	-61,594643
1722,656250	-61,957146
1808,789062	-62,333920
1894,921875	-62,920216
1981,054688	-63,408741
2067,187500	-63,784508
2153,320312	-64,146591
2239,453125	-64,474823
2325,585938	-64,843910
2411,718750	-65,139488
2497,851562	-65,443336
2583,984375	-65,733650
2670,117188	-66,013474
2756,250000	-66,294273
2842,382812	-66,548302
2928,515625	-66,856659
3014,648438	-67,078583
3100,781250	-67,327034
3186,914062	-67,543983
3273,046875	-67,777611
3359,179688	-68,002724
3445,312500	-68,113747
3531,445312	-68,215874
3617,578125	-68,512497
3703,710938	-68,826508
3789,843750	-69,007347
3875,976562	-69,191132
3962,109375	-69,343384
4048,242188	-69,400803
4134,375000	-68,865448
4220,507812	-69,037666
4306,640625	-69,913818
4392,773438	-70,246376
4478,906250	-70,380417
4565,039062	-70,541283
4651,171875	-70,698044
4737,304688	-70,853554
4823,437500	-70,985550
4909,570312	-71,131203
4995,703125	-71,276299
5081,835938	-71,410492
5167,968750	-71,556801
5254,101562	-71,726662
5340,234375	-71,812477
5426,367188	-71,969803
5512,500000	-72,068489
5598,632812	-72,225517
5684,765625	-72,359085
5770,898438	-72,485344
5857,031250	-72,606796
5943,164062	-72,757202
6029,296875	-72,887703
6115,429688	-73,001427
6201,562500	-73,145874
6287,695312	-73,238586
6373,828125	-73,397079
6459,960938	-73,485191
6546,093750	-73,593269
6632,226562	-73,665062
6718,359375	-73,757912
6804,492188	-73,849129
6890,625000	-73,880928
6976,757812	-73,970642
7062,890625	-74,025093
7149,023438	-74,150223
7235,156250	-74,147850
7321,289062	-74,222427
7407,421875	-74,211761
7493,554688	-74,360207
7579,687500	-74,400513
7665,820312	-74,491798
7751,953125	-74,632797
7838,085938	-74,661469
7924,218750	-74,763817
8010,351562	-74,686371
8096,484375	-74,802780
8182,617188	-75,155304
8268,750000	-75,350693
8354,882812	-75,310081
8441,015625	-75,325874
8527,148438	-75,295982
8613,281250	-75,364182
8699,414062	-75,373772
8785,546875	-75,454849
8871,679688	-75,495850
8957,812500	-75,532990
9043,945312	-75,567947
9130,078125	-75,651451
9216,210938	-75,688202
9302,343750	-75,726814
9388,476562	-75,834389
9474,609375	-75,852753
9560,742188	-75,943794
9646,875000	-75,974159
9733,007812	-76,052704
9819,140625	-76,118103
9905,273438	-76,149925
9991,406250	-76,179443
10077,539062	-76,276001
10163,671875	-76,304008
10249,804688	-76,375481
10335,937500	-76,427444
10422,070312	-76,441971
10508,203125	-76,502808
10594,335938	-76,540161
10680,468750	-76,555786
10766,601562	-76,625732
10852,734375	-76,657860
10938,867188	-76,715401
11025,000000	-76,813698
11111,132812	-76,790794
11197,265625	-76,911385
11283,398438	-76,914017
11369,531250	-77,021500
11455,664062	-77,017517
11541,796875	-77,091057
11627,929688	-77,147598
11714,062500	-77,220428
11800,195312	-77,201508
11886,328125	-77,156723
11972,460938	-77,093620
12058,593750	-77,285103
12144,726562	-77,340141
12230,859375	-77,450653
12316,992188	-77,386673
12403,125000	-77,495316
12489,257812	-77,537399
12575,390625	-77,549850
12661,523438	-77,588486
12747,656250	-77,678680
12833,789062	-77,675766
12919,921875	-77,802406
13006,054688	-77,740982
13092,187500	-77,813530
13178,320312	-77,883049
13264,453125	-77,898247
13350,585938	-77,941811
13436,718750	-77,964066
13522,851562	-78,000008
13608,984375	-78,041161
13695,117188	-78,085213
13781,250000	-78,164070
13867,382812	-78,165359
13953,515625	-78,268105
14039,648438	-78,276962
14125,781250	-78,336533
14211,914062	-78,314247
14298,046875	-78,395721
14384,179688	-78,417328
14470,312500	-78,405556
14556,445312	-78,484619
14642,578125	-78,482307
14728,710938	-78,501068
14814,843750	-78,531006
14900,976562	-78,585243
14987,109375	-79,054680
15073,242188	-79,555008
15159,375000	-79,617928
15245,507812	-79,646042
15331,640625	-79,672348
15417,773438	-79,705650
15503,906250	-79,723190
15590,039062	-79,758781
15676,171875	-79,778458
15762,304688	-79,809494
15848,437500	-79,829903
15934,570312	-79,859810
16020,703125	-79,881134
16106,835938	-79,906387
16192,968750	-79,931274
16279,101562	-79,953026
16365,234375	-79,978752
16451,367188	-79,997284
16537,500000	-80,024834
16623,632812	-80,041718
16709,765625	-80,066467
16795,898438	-80,086716
16882,031250	-80,107513
16968,164062	-80,127037
17054,296875	-80,146576
17140,429688	-80,169739
17226,562500	-80,184029
17312,695312	-80,208626
17398,828125	-80,220627
17484,960938	-80,245338
17571,093750	-80,256081
17657,226562	-80,281082
17743,359375	-80,292557
17829,492188	-80,311348
17915,625000	-80,327187
18001,757812	-80,343704
18087,890625	-80,362091
18174,023438	-80,371384
18260,156250	-80,392204
18346,289062	-80,403702
18432,421875	-80,418320
18518,554688	-80,430069
18604,687500	-80,449432
18690,820312	-80,456451
18776,953125	-80,473709
18863,085938	-80,483025
18949,218750	-80,496109
19035,351562	-80,510300
19121,484375	-80,518265
19207,617188	-80,532173
19293,750000	-80,538391
19379,882812	-80,555359
19466,015625	-80,559242
19552,148438	-80,574371
19638,281250	-80,580353
19724,414062	-80,590042
19810,546875	-80,600578
19896,679688	-80,605934
19982,812500	-80,616714
20068,945312	-80,621971
20155,078125	-80,634071
20241,210938	-80,634918
20327,343750	-80,647736
20413,476562	-80,648491
20499,609375	-80,659660
20585,742188	-80,661140
20671,875000	-80,669342
20758,007812	-80,674004
20844,140625	-80,677330
20930,273438	-80,683296
21016,406250	-80,684906
21102,539062	-80,693085
21188,671875	-80,690811
21274,804688	-80,700752
21360,937500	-80,697395
21447,070312	-80,703461
21533,203125	-80,703835
21619,335938	-80,705948
21705,468750	-80,707687
21791,601562	-80,707954
21877,734375	-80,712463
21963,867188	-80,706474
