Fréquence (Hz)	Niveau (dB)
86,132812	-34,757862
172,265625	-17,667988
258,398438	-11,056897
344,531250	-12,051986
430,664062	-20,385937
516,796875	-31,821404
602,929688	-49,723904
689,062500	-50,282818
775,195312	-50,569256
861,328125	-50,173645
947,460938	-51,041599
1033,593750	-53,868328
1119,726562	-55,932617
1205,859375	-57,013687
1291,992188	-57,879677
1378,125000	-58,491013
1464,257812	-58,950569
1550,390625	-59,550541
1636,523438	-59,961014
1722,656250	-60,489132
1808,789062	-57,480160
1894,921875	-48,835949
1981,054688	-50,968258
2067,187500	-61,247490
2153,320312	-62,539291
2239,453125	-62,920204
2325,585938	-63,251041
2411,718750	-63,575359
2497,851562	-63,873653
2583,984375	-64,046692
2670,117188	-63,810768
2756,250000	-64,021568
2842,382812	-64,354210
2928,515625	-65,022636
3014,648438	-65,433449
3100,781250	-65,729614
3186,914062	-65,986237
3273,046875	-66,209106
3359,179688	-66,415359
3445,312500	-66,390251
3531,445312	-66,063423
3617,578125	-65,190056
3703,710938	-63,335819
3789,843750	-63,233616
3875,976562	-65,695190
3962,109375	-66,876999
4048,242188	-67,331802
4134,375000	-66,698074
4220,507812	-67,097313
4306,640625	-68,337730
4392,773438	-68,675659
4478,906250	-68,840645
4565,039062	-69,046524
4651,171875	-69,174934
4737,304688	-69,301689
4823,437500	-69,469521
4909,570312	-69,643028
4995,703125	-69,767761
5081,835938	-69,896774
5167,968750	-70,074013
5254,101562	-70,192551
5340,234375	-70,285202
5426,367188	-70,463036
5512,500000	-70,558693
5598,632812	-70,726570
5684,765625	-70,811523
5770,898438	-70,980484
5857,031250	-71,105415
5943,164062	-71,235367
6029,296875	-71,348289
6115,429688	-71,495796
6201,562500	-71,598274
6287,695312	-71,739754
6373,828125	-71,808350
6459,960938	-71,926079
6546,093750	-72,028969
6632,226562	-72,138443
6718,359375	-72,240669
6804,492188	-72,309311
6890,625000	-72,381073
6976,757812	-72,458603
7062,890625	-72,540390
7149,023438	-72,584862
7235,156250	-72,705139
7321,289062	-72,748116
7407,421875	-72,809532
7493,554688	-72,858948
7579,687500	-72,927414
7665,820312	-73,035385
7751,953125	-73,134094
7838,085938	-73,241959
7924,218750	-73,340851
8010,351562	-73,099854
8096,484375	-73,207230
8182,617188	-73,650780
8268,750000	-73,816887
8354,882812	-73,883621
8441,015625	-73,896172
8527,148438	-73,924805
8613,281250	-73,927498
8699,414062	-73,974274
8785,546875	-74,065178
8871,679688	-74,103348
8957,812500	-74,226532
9043,945312	-74,235619
9130,078125	-74,334213
