Fréquence (Hz)	Niveau (dB)
86,132812	-27,197680
172,265625	-18,336277
258,398438	-13,768357
344,531250	-15,471422
430,664062	-19,787113
516,796875	-28,183832
602,929688	-42,204605
689,062500	-45,684204
775,195312	-46,397118
861,328125	-50,302601
947,460938	-53,419086
1033,593750	-54,901684
1119,726562	-56,388065
1205,859375	-58,772884
1291,992188	-59,651718
1378,125000	-60,024101
1464,257812	-60,868835
1550,390625	-62,295746
1636,523438	-62,687962
1722,656250	-61,986683
1808,789062	-49,110783
1894,921875	-39,861088
1981,054688	-40,974194
2067,187500	-53,062294
2153,320312	-64,273712
2239,453125	-64,936462
2325,585938	-64,547714
2411,718750	-63,094536
2497,851562	-60,607861
2583,984375	-58,093208
2670,117188	-53,209473
2756,250000	-52,806530
2842,382812	-53,047680
2928,515625	-55,640121
3014,648438	-57,461555
3100,781250	-59,810783
3186,914062	-63,058445
3273,046875	-63,425457
3359,179688	-61,415207
3445,312500	-57,894867
3531,445312	-54,410698
3617,578125	-52,098175
3703,710938	-49,438026
3789,843750	-48,155693
3875,976562	-50,485229
3962,109375	-52,551823
4048,242188	-54,743954
4134,375000	-57,535805
4220,507812	-60,132942
4306,640625	-60,924545
4392,773438	-60,932968
4478,906250	-64,196144
4565,039062	-68,589401
4651,171875	-69,464935
4737,304688	-67,918655
4823,437500	-67,993095
4909,570312	-70,759560
4995,703125	-72,032570
5081,835938	-72,384537
5167,968750	-72,491325
5254,101562	-71,783691
5340,234375	-70,732544
5426,367188	-71,363419
5512,500000	-71,982384
5598,632812	-72,366638
5684,765625	-73,159096
5770,898438	-73,525223
5857,031250	-73,773499
5943,164062	-73,953735
6029,296875	-74,055359
6115,429688	-74,257812
6201,562500	-74,338150
6287,695312	-74,456161
6373,828125	-74,226875
6459,960938	-72,843491
6546,093750	-69,871246
6632,226562	-68,746590
6718,359375	-69,446930
6804,492188	-70,742371
6890,625000	-70,693558
6976,757812	-68,997169
7062,890625	-68,661469
7149,023438	-69,826088
7235,156250	-69,705948
7321,289062	-68,219208
7407,421875	-66,306831
7493,554688	-65,382210
7579,687500	-66,091019
7665,820312	-67,631271
7751,953125	-69,439140
7838,085938	-70,068504
7924,218750	-69,550323
8010,351562	-69,257088
8096,484375	-69,384300
8182,617188	-70,453453
8268,750000	-71,583328
8354,882812	-71,631165
