Fréquence (Hz)	Niveau (dB)
86,132812	-37,653728
172,265625	-19,065382
258,398438	-10,977482
344,531250	-11,657150
430,664062	-24,407064
516,796875	-31,775200
602,929688	-32,386547
689,062500	-31,489874
775,195312	-43,340511
861,328125	-48,151085
947,460938	-47,931778
1033,593750	-53,448601
1119,726562	-54,766537
1205,859375	-55,489891
1291,992188	-56,137852
1378,125000	-56,819679
1464,257812	-57,325859
1550,390625	-57,780151
1636,523438	-58,395634
1722,656250	-58,869595
1808,789062	-59,318977
1894,921875	-59,798450
1981,054688	-60,210270
2067,187500	-60,566414
2153,320312	-60,920307
2239,453125	-61,294399
2325,585938	-61,641972
2411,718750	-61,954914
2497,851562	-62,261932
2583,984375	-62,559265
2670,117188	-62,838959
2756,250000	-63,102043
2842,382812	-63,398663
2928,515625	-63,647743
3014,648438	-63,902260
3100,781250	-64,155640
3186,914062	-64,365395
3273,046875	-64,615013
3359,179688	-64,815262
3445,312500	-65,065346
3531,445312	-65,184746
3617,578125	-65,337059
3703,710938	-65,659683
3789,843750	-65,873466
3875,976562	-66,049980
3962,109375	-66,215340
4048,242188	-66,315529
4134,375000	-65,786942
4220,507812	-65,735847
4306,640625	-66,843864
4392,773438	-67,120232
4478,906250	-67,253670
4565,039062	-67,415497
4651,171875	-67,586174
4737,304688	-67,732498
4823,437500	-67,899620
4909,570312	-68,028900
4995,703125	-68,167793
5081,835938	-68,330864
5167,968750	-68,467117
5254,101562	-68,605019
5340,234375	-68,730164
5426,367188	-68,863068
5512,500000	-69,001930
5598,632812	-69,133057
5684,765625	-69,258888
5770,898438	-69,384804
5857,031250	-69,509804
5943,164062	-69,626892
6029,296875	-69,776245
6115,429688	-69,867920
6201,562500	-70,006958
6287,695312	-70,114761
6373,828125	-70,234169
6459,960938	-70,346359
6546,093750	-70,439774
6632,226562	-70,530144
6718,359375	-70,652573
6804,492188	-70,719490
6890,625000	-70,825783
6976,757812	-70,909004
7062,890625	-70,976067
7149,023438	-71,085510
7235,156250	-71,168716
7321,289062	-71,241707
7407,421875	-71,309258
7493,554688	-71,378914
