Fréquence (Hz)	Niveau (dB)
86,132812	-33,125931
172,265625	-17,556639
258,398438	-11,280369
344,531250	-12,449272
430,664062	-19,977942
516,796875	-30,762293
602,929688	-48,548088
689,062500	-49,708569
775,195312	-49,980507
861,328125	-50,161308
947,460938	-51,233315
1033,593750	-53,845898
1119,726562	-55,895744
1205,859375	-57,052353
1291,992188	-58,054840
1378,125000	-58,719025
1464,257812	-59,098877
1550,390625	-59,791817
1636,523438	-60,205345
1722,656250	-60,659851
1808,789062	-56,017307
1894,921875	-46,746849
1981,054688	-48,830761
2067,187500	-60,701397
2153,320312	-62,759720
2239,453125	-63,128834
2325,585938	-63,469528
2411,718750	-63,752804
2497,851562	-64,020966
2583,984375	-64,001411
2670,117188	-63,143204
2756,250000	-63,266930
2842,382812	-63,616444
2928,515625	-64,858528
3014,648438	-65,395966
3100,781250	-65,849068
3186,914062	-66,159065
3273,046875	-66,391037
3359,179688	-66,496040
3445,312500	-66,247444
3531,445312	-65,323303
3617,578125	-63,743790
3703,710938	-60,969753
3789,843750	-60,751698
3875,976562	-63,954449
3962,109375	-65,701416
4048,242188	-66,654907
4134,375000	-66,645470
4220,507812	-67,229126
4306,640625	-68,446159
4392,773438	-68,821953
4478,906250	-69,060440
4565,039062	-69,223808
4651,171875	-69,380234
4737,304688	-69,501335
4823,437500	-69,695770
4909,570312	-69,808464
4995,703125	-69,972099
5081,835938	-70,126015
5167,968750	-70,269577
5254,101562	-70,374207
5340,234375	-70,508713
5426,367188	-70,652397
5512,500000	-70,775406
5598,632812	-70,902359
5684,765625	-71,057541
5770,898438	-71,201828
5857,031250	-71,298691
5943,164062	-71,431953
6029,296875	-71,567070
6115,429688	-71,705276
6201,562500	-71,813332
6287,695312	-71,927116
6373,828125	-71,924919
6459,960938	-71,885063
6546,093750	-72,223854
6632,226562	-72,313911
6718,359375	-72,437531
6804,492188	-72,522171
6890,625000	-72,593674
6976,757812	-72,651680
7062,890625	-72,736176
7149,023438	-72,830208
7235,156250	-72,898048
7321,289062	-72,940460
7407,421875	-73,012520
7493,554688	-73,026756
7579,687500	-73,143547
7665,820312	-73,283920
7751,953125	-73,336792
7838,085938	-73,461990
7924,218750	-73,545403
8010,351562	-73,299614
8096,484375	-73,380669
8182,617188	-73,873177
8268,750000	-74,015854
8354,882812	-74,083847
8441,015625	-74,074524
8527,148438	-74,140320
8613,281250	-74,112442
8699,414062	-74,181427
8785,546875	-74,218193
8871,679688	-74,337128
8957,812500	-74,395599
9043,945312	-74,460022
9130,078125	-74,532143
9216,210938	-74,580452
9302,343750	-74,642410
9388,476562	-74,718994
9474,609375	-74,748955
9560,742188	-74,853828
9646,875000	-74,872627
9733,007812	-74,976509
9819,140625	-75,039848
9905,273438	-75,075401
9991,406250	-75,142166
10077,539062	-75,221191
10163,671875	-75,254562
10249,804688	-75,302582
10335,937500	-75,387970
10422,070312	-75,389076
10508,203125	-75,502754
10594,335938	-75,492485
10680,468750	-75,609451
10766,601562	-75,587341
10852,734375	-75,684731
10938,867188	-75,691788
11025,000000	-75,825035
11111,132812	-75,787758
11197,265625	-75,939323
11283,398438	-75,958130
11369,531250	-75,956276
11455,664062	-76,004868
11541,796875	-76,104843
11627,929688	-76,149117
11714,062500	-76,207237
11800,195312	-76,243263
11886,328125	-76,159927
11972,460938	-76,027092
12058,593750	-76,343742
12144,726562	-76,369057
12230,859375	-76,477890
12316,992188	-76,517609
12403,125000	-76,533577
12489,257812	-76,601807
12575,390625	-76,608696
12661,523438	-76,697815
12747,656250	-76,701439
