Fréquence (Hz)	Niveau (dB)
86,132812	-40,278191
172,265625	-22,565575
258,398438	-14,571590
344,531250	-13,102899
430,664062	-19,306070
516,796875	-30,922956
602,929688	-46,321186
689,062500	-48,999096
775,195312	-52,888882
861,328125	-52,806835
947,460938	-52,189381
1033,593750	-54,405880
1119,726562	-56,548805
1205,859375	-58,227436
1291,992188	-59,439808
1378,125000	-60,232571
1464,257812	-60,630726
1550,390625	-61,117348
1636,523438	-61,773544
1722,656250	-62,169720
1808,789062	-62,338703
1894,921875	-61,752312
1981,054688	-63,187386
2067,187500	-64,045166
2153,320312	-64,405472
2239,453125	-64,751137
2325,585938	-65,102379
2411,718750	-65,401505
2497,851562	-65,706726
2583,984375	-65,967087
2670,117188	-66,199074
2756,250000	-66,520058
2842,382812	-66,751137
2928,515625	-67,090225
3014,648438	-67,340576
3100,781250	-67,586830
3186,914062	-67,766922
3273,046875	-68,027084
3359,179688	-68,269531
3445,312500	-68,361687
3531,445312	-68,461998
3617,578125	-68,694618
3703,710938	-69,079056
3789,843750	-69,271919
3875,976562	-69,448006
3962,109375	-69,578102
4048,242188	-69,684647
4134,375000	-69,245644
4220,507812	-69,027168
4306,640625	-70,110863
4392,773438	-70,488014
4478,906250	-70,656212
4565,039062	-70,806885
4651,171875	-70,933174
4737,304688	-71,082520
4823,437500	-71,224091
4909,570312	-71,364014
4995,703125	-71,517387
5081,835938	-71,667969
5167,968750	-71,811493
5254,101562	-71,958893
5340,234375	-72,105843
5426,367188	-72,187027
5512,500000	-72,327591
5598,632812	-72,455460
5684,765625	-72,643829
5770,898438	-72,758942
5857,031250	-72,879005
5943,164062	-73,013466
6029,296875	-73,155823
6115,429688	-73,300652
6201,562500	-73,384415
6287,695312	-73,547058
6373,828125	-73,644402
6459,960938	-73,757652
6546,093750	-73,851555
6632,226562	-73,932564
6718,359375	-74,005325
6804,492188	-74,099838
6890,625000	-74,072212
6976,757812	-74,200905
7062,890625	-74,270386
7149,023438	-74,332344
7235,156250	-74,422241
7321,289062	-74,422020
7407,421875	-74,387558
7493,554688	-74,488777
7579,687500	-74,606842
7665,820312	-74,714760
7751,953125	-74,792633
7838,085938	-74,849991
7924,218750	-74,969597
8010,351562	-74,925819
8096,484375	-74,967598
8182,617188	-75,360069
8268,750000	-75,612305
8354,882812	-75,550308
8441,015625	-75,547470
8527,148438	-75,530586
8613,281250	-75,524345
8699,414062	-75,560257
8785,546875	-75,640152
8871,679688	-75,670898
8957,812500	-75,695015
9043,945312	-75,768410
9130,078125	-75,750519
9216,210938	-75,861862
9302,343750	-75,907059
9388,476562	-75,978897
9474,609375	-76,069717
9560,742188	-76,068520
9646,875000	-76,237770
9733,007812	-76,214722
9819,140625	-76,312912
9905,273438	-76,338829
9991,406250	-76,383377
10077,539062	-76,418877
10163,671875	-76,526749
10249,804688	-76,514175
10335,937500	-76,636314
10422,070312	-76,602280
10508,203125	-76,710365
10594,335938	-76,702759
10680,468750	-76,714706
10766,601562	-76,729912
10852,734375	-76,832642
10938,867188	-76,837440
11025,000000	-76,914688
11111,132812	-77,039940
11197,265625	-77,061646
11283,398438	-77,190750
11369,531250	-77,163353
11455,664062	-77,275650
11541,796875	-77,392929
11627,929688	-77,403526
11714,062500	-77,433586
11800,195312	-77,479691
11886,328125	-77,362022
11972,460938	-77,405563
12058,593750	-77,479317
12144,726562	-77,560249
12230,859375	-77,570099
12316,992188	-77,639771
12403,125000	-77,707138
12489,257812	-77,763596
12575,390625	-77,796104
12661,523438	-77,863861
12747,656250	-77,928123
12833,789062	-77,939972
12919,921875	-78,013641
13006,054688	-78,042938
13092,187500	-78,105209
13178,320312	-78,119774
13264,453125	-78,109917
13350,585938	-78,171188
13436,718750	-78,208168
13522,851562	-78,242020
13608,984375	-78,284447
13695,117188	-78,308060
13781,250000	-78,348587
13867,382812	-78,395638
13953,515625	-78,481644
14039,648438	-78,532257
14125,781250	-78,582291
14211,914062	-78,575630
14298,046875	-78,624008
14384,179688	-78,644714
14470,312500	-78,666313
14556,445312	-78,695442
14642,578125	-78,752357
14728,710938	-78,730476
14814,843750	-78,761002
14900,976562	-78,802368
14987,109375	-79,317650
15073,242188	-79,840515
15159,375000	-79,910408
15245,507812	-79,940887
15331,640625	-79,969658
15417,773438	-79,993492
15503,906250	-80,024612
15590,039062	-80,049080
15676,171875	-80,076141
15762,304688	-80,101173
15848,437500	-80,125992
15934,570312	-80,152382
16020,703125	-80,176132
16106,835938	-80,200386
16192,968750	-80,226997
16279,101562	-80,247002
16365,234375	-80,271095
16451,367188	-80,293945
16537,500000	-80,317352
16623,632812	-80,337479
16709,765625	-80,358330
16795,898438	-80,381958
16882,031250	-80,401001
16968,164062	-80,421890
17054,296875	-80,442085
17140,429688	-80,460983
17226,562500	-80,482155
17312,695312	-80,498123
17398,828125	-80,519623
17484,960938	-80,535873
17571,093750	-80,553940
17657,226562	-80,572792
17743,359375	-80,586685
17829,492188	-80,608223
17915,625000	-80,619545
18001,757812	-80,639374
18087,890625	-80,652481
18174,023438	-80,668617
18260,156250	-80,685387
18346,289062	-80,696945
18432,421875	-80,713043
18518,554688	-80,726593
18604,687500	-80,739540
18690,820312	-80,753975
18776,953125	-80,765915
18863,085938	-80,777824
