Fréquence (Hz)	Niveau (dB)
86,132812	-25,822973
172,265625	-18,767828
258,398438	-14,825961
344,531250	-16,616793
430,664062	-20,298058
516,796875	-28,060038
602,929688	-40,571976
689,062500	-44,053879
775,195312	-44,624264
861,328125	-48,627510
947,460938	-52,524853
1033,593750	-53,268147
1119,726562	-54,415218
1205,859375	-58,485523
1291,992188	-58,669094
1378,125000	-58,726238
1464,257812	-59,943939
1550,390625	-62,522213
1636,523438	-63,022190
1722,656250	-60,639339
1808,789062	-47,663975
1894,921875	-38,873390
1981,054688	-39,608673
2067,187500	-50,156853
2153,320312	-62,793278
2239,453125	-64,307320
2325,585938	-62,438835
2411,718750	-59,842937
2497,851562	-56,706264
2583,984375	-54,997890
2670,117188	-50,256741
2756,250000	-49,670067
2842,382812	-49,753021
2928,515625	-51,782913
3014,648438	-53,733082
3100,781250	-55,941345
3186,914062	-59,179409
3273,046875	-59,242966
3359,179688	-57,368259
3445,312500	-54,225826
3531,445312	-50,877876
3617,578125	-48,874760
3703,710938	-46,846134
3789,843750	-45,420521
3875,976562	-47,048264
3962,109375	-48,858025
4048,242188	-50,476109
4134,375000	-53,112335
4220,507812	-55,147114
4306,640625	-56,081242
4392,773438	-55,366459
4478,906250	-58,424507
4565,039062	-63,317760
4651,171875	-65,637314
4737,304688	-63,023579
4823,437500	-62,727005
4909,570312	-66,562393
4995,703125	-69,999413
5081,835938	-71,462021
5167,968750	-71,642998
5254,101562	-69,000114
5340,234375	-66,713776
5426,367188	-67,494965
5512,500000	-68,881615
5598,632812	-69,623405
5684,765625	-71,644760
5770,898438	-73,254105
5857,031250	-74,067261
5943,164062	-74,506485
6029,296875	-74,795822
6115,429688	-74,922203
6201,562500	-75,080780
6287,695312	-74,907616
6373,828125	-73,424850
6459,960938	-69,476883
6546,093750	-64,814552
6632,226562	-62,920681
6718,359375	-63,194714
6804,492188	-64,728989
6890,625000	-64,835205
6976,757812	-62,615864
7062,890625	-61,906376
7149,023438	-62,943447
7235,156250	-63,126297
7321,289062	-61,616306
7407,421875	-59,610073
7493,554688	-58,384396
7579,687500	-58,572746
7665,820312	-60,201550
7751,953125	-62,091759
7838,085938	-63,108055
7924,218750	-62,738884
8010,351562	-62,779598
8096,484375	-63,058945
8182,617188	-64,646774
8268,750000	-66,093513
8354,882812	-65,553619
8441,015625	-64,314568
8527,148438	-62,085289
8613,281250	-60,131451
8699,414062	-59,572594
8785,546875	-59,814774
8871,679688	-60,766644
8957,812500	-62,578739
9043,945312	-63,913143
9130,078125	-65,308594
9216,210938	-65,433998
9302,343750	-65,925880
9388,476562	-66,440811
9474,609375	-66,869606
9560,742188	-67,826042
9646,875000	-69,182816
9733,007812	-70,564613
9819,140625	-71,725487
9905,273438	-72,739586
9991,406250	-73,656113
10077,539062	-73,692604
10163,671875	-73,281670
10249,804688	-73,064026
10335,937500	-72,153503
10422,070312	-71,060745
10508,203125	-71,494675
10594,335938	-71,064285
10680,468750	-70,977036
10766,601562	-70,990051
10852,734375	-71,528831
10938,867188	-73,403183
11025,000000	-75,785309
11111,132812	-77,471581
11197,265625	-78,286652
11283,398438	-78,593468
11369,531250	-78,736221
11455,664062	-78,737274
11541,796875	-78,823822
11627,929688	-78,865395
11714,062500	-78,891724
11800,195312	-78,917450
11886,328125	-78,795204
11972,460938	-78,782532
12058,593750	-78,952492
12144,726562	-79,120514
12230,859375	-79,197273
12316,992188	-79,163300
12403,125000	-79,306633
12489,257812	-79,303909
12575,390625	-79,324547
12661,523438	-79,383217
12747,656250	-79,440483
12833,789062	-79,490059
12919,921875	-79,550301
13006,054688	-79,567192
13092,187500	-79,585899
13178,320312	-79,653992
13264,453125	-79,721642
13350,585938	-79,690849
13436,718750	-79,798820
13522,851562	-79,794914
13608,984375	-79,812737
13695,117188	-79,884186
13781,250000	-79,925789
13867,382812	-79,984138
13953,515625	-80,077667
14039,648438	-80,066597
14125,781250	-80,145996
14211,914062	-80,104469
14298,046875	-80,148163
14384,179688	-80,196259
14470,312500	-80,265221
14556,445312	-80,253746
14642,578125	-80,309692
14728,710938	-80,294907
14814,843750	-80,381676
14900,976562	-80,379219
14987,109375	-81,004120
15073,242188	-81,660507
15159,375000	-81,737656
15245,507812	-81,764000
15331,640625	-81,794533
15417,773438	-81,819427
15503,906250	-81,848778
15590,039062	-81,876106
15676,171875	-81,898628
15762,304688	-81,929550
15848,437500	-81,950699
15934,570312	-81,978172
16020,703125	-82,002953
16106,835938	-82,026344
16192,968750	-82,050041
16279,101562	-82,073166
16365,234375	-82,098572
16451,367188	-82,117912
16537,500000	-82,143089
16623,632812	-82,163277
16709,765625	-82,185394
16795,898438	-82,206520
16882,031250	-82,227165
16968,164062	-82,249527
17054,296875	-82,267609
17140,429688	-82,287590
17226,562500	-82,306458
17312,695312	-82,326157
17398,828125	-82,347496
17484,960938	-82,357384
17571,093750	-82,381691
17657,226562	-82,397499
17743,359375	-82,415344
17829,492188	-82,432365
17915,625000	-82,444405
18001,757812	-82,467606
18087,890625	-82,478935
18174,023438	-82,495529
18260,156250	-82,509438
18346,289062	-82,524750
18432,421875	-82,538994
18518,554688	-82,551414
18604,687500	-82,568237
18690,820312	-82,578133
18776,953125	-82,592552
18863,085938	-82,605568
18949,218750	-82,614830
19035,351562	-82,631462
19121,484375	-82,639061
19207,617188	-82,653519
19293,750000	-82,660942
19379,882812	-82,672577
19466,015625	-82,682137
19552,148438	-82,693527
19638,281250	-82,702675
19724,414062	-82,708450
19810,546875	-82,720963
19896,679688	-82,727257
19982,812500	-82,738319
20068,945312	-82,741135
20155,078125	-82,751144
20241,210938	-82,761322
20327,343750	-82,764664
20413,476562	-82,772568
20499,609375	-82,777100
20585,742188	-82,783997
20671,875000	-82,788910
20758,007812	-82,792221
20844,140625	-82,801849
20930,273438	-82,800415
21016,406250	-82,809021
21102,539062	-82,809242
21188,671875	-82,815742
21274,804688	-82,817749
21360,937500	-82,819450
21447,070312	-82,824821
21533,203125	-82,824203
21619,335938	-82,826454
21705,468750	-82,829796
21791,601562	-82,828552
21877,734375	-82,831520
21963,867188	-82,828613
Fréquence (Hz)	Niveau (dB)
86,132812	-27,197680
172,265625	-18,336277
258,398438	-13,768357
344,531250	-15,471422
430,664062	-19,787113
516,796875	-28,183832
602,929688	-42,204605
689,062500	-45,684204
775,195312	-46,397118
861,328125	-50,302601
947,460938	-53,419086
1033,593750	-54,901684
1119,726562	-56,388065
1205,859375	-58,772884
1291,992188	-59,651718
1378,125000	-60,024101
1464,257812	-60,868835
1550,390625	-62,295746
1636,523438	-62,687962
1722,656250	-61,986683
1808,789062	-49,110783
1894,921875	-39,861088
1981,054688	-40,974194
2067,187500	-53,062294
2153,320312	-64,273712
2239,453125	-64,936462
2325,585938	-64,547714
2411,718750	-63,094536
2497,851562	-60,607861
2583,984375	-58,093208
2670,117188	-53,209473
2756,250000	-52,806530
2842,382812	-53,047680
2928,515625	-55,640121
3014,648438	-57,461555
3100,781250	-59,810783
3186,914062	-63,058445
3273,046875	-63,425457
3359,179688	-61,415207
3445,312500	-57,894867
