Fréquence (Hz)	Niveau (dB)
86,132812	-39,511669
172,265625	-20,709942
258,398438	-14,320702
344,531250	-13,697928
430,664062	-17,775692
516,796875	-27,919098
602,929688	-38,013489
689,062500	-40,902542
775,195312	-51,169712
861,328125	-51,207787
947,460938	-50,216053
1033,593750	-52,788143
1119,726562	-55,306206
1205,859375	-57,194611
1291,992188	-58,572414
1378,125000	-59,528732
1464,257812	-60,148796
1550,390625	-60,675976
1636,523438	-61,201290
1722,656250	-61,489697
1808,789062	-61,811924
1894,921875	-62,409199
1981,054688	-63,003193
2067,187500	-63,413441
2153,320312	-63,758682
2239,453125	-64,128853
2325,585938	-64,444756
2411,718750	-64,791428
2497,851562	-65,052467
2583,984375	-65,329803
2670,117188	-65,654579
2756,250000	-65,890823
2842,382812	-66,167282
2928,515625	-66,477242
3014,648438	-66,716423
3100,781250	-66,937027
3186,914062	-67,195305
3273,046875	-67,398621
3359,179688	-67,628433
3445,312500	-67,692101
3531,445312	-67,792099
3617,578125	-68,115067
3703,710938	-68,462669
3789,843750	-68,644646
3875,976562	-68,857384
3962,109375	-68,978233
4048,242188	-69,046463
4134,375000	-68,530106
4220,507812	-68,659409
4306,640625	-69,530983
4392,773438	-69,873116
4478,906250	-70,025826
4565,039062	-70,191681
4651,171875	-70,345596
4737,304688	-70,469711
4823,437500	-70,628334
4909,570312	-70,772797
4995,703125	-70,921730
5081,835938	-71,057823
5167,968750	-71,208694
5254,101562	-71,344032
5340,234375	-71,456154
5426,367188	-71,617256
5512,500000	-71,702415
5598,632812	-71,882599
5684,765625	-71,994850
5770,898438	-72,136742
5857,031250	-72,261078
5943,164062	-72,400841
6029,296875	-72,532951
6115,429688	-72,657669
6201,562500	-72,781830
6287,695312	-72,911804
6373,828125	-73,022942
6459,960938	-73,126442
6546,093750	-73,222092
6632,226562	-73,328537
6718,359375	-73,400787
6804,492188	-73,481079
6890,625000	-73,524284
6976,757812	-73,581207
7062,890625	-73,705620
7149,023438	-73,754601
7235,156250	-73,812439
7321,289062	-73,862259
7407,421875	-73,841881
7493,554688	-73,974686
7579,687500	-74,059372
7665,820312	-74,200027
7751,953125	-74,259674
7838,085938	-74,318443
7924,218750	-74,403015
8010,351562	-74,334137
8096,484375	-74,432602
8182,617188	-74,820892
8268,750000	-74,946487
8354,882812	-74,993706
8441,015625	-74,977997
8527,148438	-74,965378
8613,281250	-75,001114
8699,414062	-75,008766
8785,546875	-75,074287
8871,679688	-75,151054
8957,812500	-75,205376
9043,945312	-75,195839
9130,078125	-75,299812
9216,210938	-75,299210
9302,343750	-75,410034
9388,476562	-75,492546
9474,609375	-75,489883
9560,742188	-75,596542
9646,875000	-75,628464
9733,007812	-75,701233
9819,140625	-75,766197
9905,273438	-75,805672
9991,406250	-75,874443
10077,539062	-75,878830
10163,671875	-76,004379
10249,804688	-75,988861
10335,937500	-76,050980
10422,070312	-76,116333
10508,203125	-76,154991
10594,335938	-76,183388
10680,468750	-76,265892
10766,601562	-76,273590
10852,734375	-76,284447
10938,867188	-76,352440
11025,000000	-76,427628
11111,132812	-76,465553
11197,265625	-76,563995
11283,398438	-76,562119
11369,531250	-76,678024
11455,664062	-76,660553
11541,796875	-76,773041
11627,929688	-76,849632
11714,062500	-76,843803
11800,195312	-76,879509
11886,328125	-76,841354
11972,460938	-76,817917
12058,593750	-76,903908
12144,726562	-77,061134
12230,859375	-77,040131
12316,992188	-77,123039
12403,125000	-77,093132
12489,257812	-77,191895
12575,390625	-77,237976
12661,523438	-77,263931
12747,656250	-77,327118
12833,789062	-77,360985
12919,921875	-77,412476
13006,054688	-77,438278
13092,187500	-77,510162
13178,320312	-77,522522
13264,453125	-77,614296
13350,585938	-77,587990
13436,718750	-77,681168
13522,851562	-77,695290
13608,984375	-77,715828
13695,117188	-77,778526
13781,250000	-77,812408
13867,382812	-77,840141
13953,515625	-77,948738
14039,648438	-77,998116
14125,781250	-78,012520
14211,914062	-78,011047
14298,046875	-78,042557
14384,179688	-78,092537
14470,312500	-78,085556
14556,445312	-78,126923
14642,578125	-78,177574
14728,710938	-78,203178
14814,843750	-78,207703
14900,976562	-78,264977
14987,109375	-78,703087
15073,242188	-79,193810
15159,375000	-79,256874
15245,507812	-79,284340
15331,640625	-79,311943
15417,773438	-79,338692
15503,906250	-79,367691
15590,039062	-79,392303
15676,171875	-79,420006
15762,304688	-79,443344
15848,437500	-79,470985
15934,570312	-79,496956
16020,703125	-79,518547
16106,835938	-79,545067
16192,968750	-79,569115
16279,101562	-79,590942
16365,234375	-79,613640
16451,367188	-79,638344
16537,500000	-79,660812
16623,632812	-79,680252
16709,765625	-79,703812
16795,898438	-79,723602
16882,031250	-79,745415
16968,164062	-79,764290
17054,296875	-79,785622
17140,429688	-79,806007
17226,562500	-79,824417
17312,695312	-79,842392
17398,828125	-79,861572
17484,960938	-79,880196
17571,093750	-79,897644
17657,226562	-79,915047
17743,359375	-79,933907
17829,492188	-79,947090
17915,625000	-79,965042
18001,757812	-79,981339
18087,890625	-79,997040
18174,023438	-80,012947
18260,156250	-80,027702
18346,289062	-80,039841
18432,421875	-80,057083
18518,554688	-80,070801
18604,687500	-80,082344
18690,820312	-80,096039
18776,953125	-80,110794
18863,085938	-80,121445
18949,218750	-80,133911
19035,351562	-80,144051
19121,484375	-80,158775
19207,617188	-80,167328
19293,750000	-80,180382
19379,882812	-80,188187
19466,015625	-80,201172
19552,148438	-80,209328
19638,281250	-80,217804
19724,414062	-80,228508
19810,546875	-80,237198
19896,679688	-80,245094
19982,812500	-80,252075
20068,945312	-80,261765
20155,078125	-80,268028
20241,210938	-80,274811
20327,343750	-80,282196
20413,476562	-80,289642
20499,609375	-80,294327
20585,742188	-80,299782
20671,875000	-80,305534
20758,007812	-80,311859
20844,140625	-80,316628
20930,273438	-80,317200
21016,406250	-80,325890
21102,539062	-80,329567
21188,671875	-80,330536
21274,804688	-80,332359
21360,937500	-80,339592
21447,070312	-80,340340
21533,203125	-80,340805
21619,335938	-80,342567
21705,468750	-80,347176
21791,601562	-80,346085
21877,734375	-80,347389
21963,867188	-80,345276
