Fréquence (Hz)	Niveau (dB)
86,132812	-31,112705
172,265625	-17,047276
258,398438	-11,135322
344,531250	-12,477660
430,664062	-19,175415
516,796875	-29,333216
602,929688	-46,590996
689,062500	-48,296604
775,195312	-48,590637
861,328125	-49,380703
947,460938	-51,097691
1033,593750	-53,865028
1119,726562	-55,596272
1205,859375	-56,950970
1291,992188	-58,004318
1378,125000	-58,582050
1464,257812	-59,125549
1550,390625	-59,756428
1636,523438	-60,223827
1722,656250	-60,653564
1808,789062	-53,758011
1894,921875	-44,128994
1981,054688	-46,075005
2067,187500	-59,393105
2153,320312	-62,771824
2239,453125	-63,092659
2325,585938	-63,459946
2411,718750	-63,689812
2497,851562	-63,880863
2583,984375	-63,266727
2670,117188	-61,232315
2756,250000	-61,228996
2842,382812	-61,688400
2928,515625	-63,725338
3014,648438	-64,675117
3100,781250	-65,551155
3186,914062	-66,042084
3273,046875	-66,272270
3359,179688	-66,161224
3445,312500	-65,194397
3531,445312	-63,127228
3617,578125	-60,881714
3703,710938	-57,664074
3789,843750	-57,188774
3875,976562	-60,835804
3962,109375	-63,040157
4048,242188	-64,955765
4134,375000	-65,705719
4220,507812	-66,896690
4306,640625	-68,097649
4392,773438	-68,519653
4478,906250	-68,927994
4565,039062	-69,202881
4651,171875	-69,375229
4737,304688	-69,495926
4823,437500	-69,646477
4909,570312	-69,817848
4995,703125	-69,996391
5081,835938	-70,136917
5167,968750	-70,256256
5254,101562	-70,384911
5340,234375	-70,520493
5426,367188	-70,651428
5512,500000	-70,795418
5598,632812	-70,891121
5684,765625	-71,069336
5770,898438	-71,179649
5857,031250	-71,313652
5943,164062	-71,450470
6029,296875	-71,584869
6115,429688	-71,710648
6201,562500	-71,832375
6287,695312	-71,940590
6373,828125	-72,068542
6459,960938	-72,148903
6546,093750	-72,221466
6632,226562	-72,300041
6718,359375	-72,424515
6804,492188	-72,480209
6890,625000	-72,572037
6976,757812	-72,617111
7062,890625	-72,686584
7149,023438	-72,798409
7235,156250	-72,875420
7321,289062	-72,872795
7407,421875	-72,888733
7493,554688	-72,936874
7579,687500	-73,019012
7665,820312	-73,195892
7751,953125	-73,279053
7838,085938	-73,424545
7924,218750	-73,503639
8010,351562	-73,231407
8096,484375	-73,357613
8182,617188	-73,815140
8268,750000	-74,044365
8354,882812	-74,077698
8441,015625	-74,050224
8527,148438	-74,056877
8613,281250	-73,961029
8699,414062	-74,047523
8785,546875	-74,148056
8871,679688	-74,270447
8957,812500	-74,385674
9043,945312	-74,453751
9130,078125	-74,482765
9216,210938	-74,551140
9302,343750	-74,643051
9388,476562	-74,699196
9474,609375	-74,771957
9560,742188	-74,828087
9646,875000	-74,923828
9733,007812	-74,957458
9819,140625	-75,030518
9905,273438	-75,130661
9991,406250	-75,092247
10077,539062	-75,221863
10163,671875	-75,276184
10249,804688	-75,304382
10335,937500	-75,360275
10422,070312	-75,459076
10508,203125	-75,457199
10594,335938	-75,537109
10680,468750	-75,540901
10766,601562	-75,622009
10852,734375	-75,673302
10938,867188	-75,695946
11025,000000	-75,801224
11111,132812	-75,840340
11197,265625	-75,916794
11283,398438	-75,969131
11369,531250	-76,014801
11455,664062	-75,998924
11541,796875	-76,108353
11627,929688	-76,189682
11714,062500	-76,204063
11800,195312	-76,244614
11886,328125	-76,162407
11972,460938	-76,046745
12058,593750	-76,310539
12144,726562	-76,451027
12230,859375	-76,474648
12316,992188	-76,508591
12403,125000	-76,578690
12489,257812	-76,621498
12575,390625	-76,629837
12661,523438	-76,686897
12747,656250	-76,729942
12833,789062	-76,789635
12919,921875	-76,823418
13006,054688	-76,856689
13092,187500	-76,895050
13178,320312	-76,936249
13264,453125	-76,981087
13350,585938	-77,011307
13436,718750	-77,042023
13522,851562	-77,097595
13608,984375	-77,112083
13695,117188	-77,193527
13781,250000	-77,201546
13867,382812	-77,244461
13953,515625	-77,299606
14039,648438	-77,323547
14125,781250	-77,345657
14211,914062	-77,399330
14298,046875	-77,397957
14384,179688	-77,416389
14470,312500	-77,492950
14556,445312	-77,519791
14642,578125	-77,523285
14728,710938	-77,578621
14814,843750	-77,609802
14900,976562	-77,662476
14987,109375	-77,900017
15073,242188	-78,220245
15159,375000	-78,267944
15245,507812	-78,292625
15331,640625	-78,321617
15417,773438	-78,349754
15503,906250	-78,375519
15590,039062	-78,403099
15676,171875	-78,431625
15762,304688	-78,454346
15848,437500	-78,479828
15934,570312	-78,505684
16020,703125	-78,529709
16106,835938	-78,555565
16192,968750	-78,579453
16279,101562	-78,603638
16365,234375	-78,621872
16451,367188	-78,648216
16537,500000	-78,669884
16623,632812	-78,692291
16709,765625	-78,715103
16795,898438	-78,733948
16882,031250	-78,754379
16968,164062	-78,776344
17054,296875	-78,795860
17140,429688	-78,814316
17226,562500	-78,836113
17312,695312	-78,854553
17398,828125	-78,870239
17484,960938	-78,890915
17571,093750	-78,906616
17657,226562	-78,927071
17743,359375	-78,943932
17829,492188	-78,958771
17915,625000	-78,975090
18001,757812	-78,990669
18087,890625	-79,007645
18174,023438	-79,022522
18260,156250	-79,038750
18346,289062	-79,053734
18432,421875	-79,064003
18518,554688	-79,079803
18604,687500	-79,093948
18690,820312	-79,107903
18776,953125	-79,121529
18863,085938	-79,131813
18949,218750	-79,144508
19035,351562	-79,154205
19121,484375	-79,167976
19207,617188	-79,180412
19293,750000	-79,189583
19379,882812	-79,201378
19466,015625	-79,208527
19552,148438	-79,218704
19638,281250	-79,230354
19724,414062	-79,237930
19810,546875	-79,249092
