Fréquence (Hz)	Niveau (dB)
86,132812	-35,186481
172,265625	-20,306906
258,398438	-10,769848
344,531250	-11,349608
430,664062	-26,320375
516,796875	-28,302317
602,929688	-26,788292
689,062500	-25,911032
775,195312	-39,076042
861,328125	-48,316566
947,460938	-48,264015
1033,593750	-53,278404
1119,726562	-54,197170
1205,859375	-54,910374
1291,992188	-55,610577
1378,125000	-56,417320
1464,257812	-56,830479
1550,390625	-57,370350
1636,523438	-57,879807
1722,656250	-58,438049
1808,789062	-58,900360
1894,921875	-59,366879
1981,054688	-59,690449
2067,187500	-60,155510
2153,320312	-60,530514
2239,453125	-60,885311
2325,585938	-61,235470
2411,718750	-61,560268
2497,851562	-61,866920
2583,984375	-62,156837
2670,117188	-62,445999
2756,250000	-62,708260
2842,382812	-63,001114
2928,515625	-63,250149
3014,648438	-63,513939
3100,781250	-63,751160
3186,914062	-63,970951
3273,046875	-64,167686
3359,179688	-64,417488
3445,312500	-64,648293
3531,445312	-64,823990
3617,578125	-64,941605
3703,710938	-65,254814
3789,843750	-65,480446
3875,976562	-65,648163
3962,109375	-65,819366
4048,242188	-65,940445
4134,375000	-65,529945
4220,507812	-65,313423
4306,640625	-66,463837
4392,773438	-66,705864
4478,906250	-66,854370
4565,039062	-66,964539
4651,171875	-67,158310
4737,304688	-67,339005
4823,437500	-67,496277
4909,570312	-67,620918
4995,703125	-67,770584
5081,835938	-67,926353
5167,968750	-68,050354
5254,101562	-68,196190
5340,234375	-68,334694
5426,367188	-68,455040
5512,500000	-68,589577
5598,632812	-68,731331
5684,765625	-68,851143
5770,898438	-68,974823
5857,031250	-69,118202
5943,164062	-69,221237
6029,296875	-69,359680
6115,429688	-69,476570
6201,562500	-69,601486
6287,695312	-69,717209
6373,828125	-69,828987
6459,960938	-69,945435
6546,093750	-70,027138
6632,226562	-70,154640
6718,359375	-70,229874
6804,492188	-70,323685
6890,625000	-70,405922
6976,757812	-70,494843
7062,890625	-70,563805
7149,023438	-70,631081
7235,156250	-70,764420
7321,289062	-70,784729
7407,421875	-70,888039
7493,554688	-70,973984
7579,687500	-71,038757
7665,820312	-71,151299
7751,953125	-71,242828
7838,085938	-71,285233
7924,218750	-71,404579
8010,351562	-71,387001
8096,484375	-71,309601
8182,617188	-71,692001
8268,750000	-71,841125
8354,882812	-71,871620
8441,015625	-71,901688
8527,148438	-71,948830
8613,281250	-71,971611
8699,414062	-72,074921
8785,546875	-72,116737
8871,679688	-72,200195
8957,812500	-72,233704
9043,945312	-72,317184
9130,078125	-72,368774
9216,210938	-72,450790
9302,343750	-72,499687
