Fréquence (Hz)	Niveau (dB)
86,132812	-32,812115
172,265625	-21,583523
258,398438	-11,629167
344,531250	-12,220827
430,664062	-27,443155
516,796875	-26,228310
602,929688	-25,171215
689,062500	-24,822836
775,195312	-38,540062
861,328125	-49,245716
947,460938	-49,631676
1033,593750	-53,906227
1119,726562	-54,568077
1205,859375	-55,395489
1291,992188	-56,191204
1378,125000	-57,022758
1464,257812	-57,501526
1550,390625	-58,014763
1636,523438	-58,550602
1722,656250	-59,063606
1808,789062	-59,554199
1894,921875	-59,990047
1981,054688	-60,269924
2067,187500	-60,830612
2153,320312	-61,250957
2239,453125	-61,582527
2325,585938	-61,935436
2411,718750	-62,266327
2497,851562	-62,562733
2583,984375	-62,868233
2670,117188	-63,141983
2756,250000	-63,418022
2842,382812	-63,689449
2928,515625	-63,964439
3014,648438	-64,210396
3100,781250	-64,461426
3186,914062	-64,672325
3273,046875	-64,844086
3359,179688	-65,099571
3445,312500	-65,358414
3531,445312	-65,523598
3617,578125	-65,660645
3703,710938	-65,974312
3789,843750	-66,174011
3875,976562	-66,347069
3962,109375	-66,526840
4048,242188	-66,641022
4134,375000	-66,280769
4220,507812	-66,048080
4306,640625	-67,169060
4392,773438	-67,415970
4478,906250	-67,526688
4565,039062	-67,638199
4651,171875	-67,869766
4737,304688	-68,050766
4823,437500	-68,174324
4909,570312	-68,324287
4995,703125	-68,493042
5081,835938	-68,619682
5167,968750	-68,763741
5254,101562	-68,901955
5340,234375	-69,032906
5426,367188	-69,154190
5512,500000	-69,301987
5598,632812	-69,425545
5684,765625	-69,572296
5770,898438	-69,657547
5857,031250	-69,844154
5943,164062	-69,914291
6029,296875	-70,064964
6115,429688	-70,196594
6201,562500	-70,303024
6287,695312	-70,427971
6373,828125	-70,541916
6459,960938	-70,646439
6546,093750	-70,762108
6632,226562	-70,838501
6718,359375	-70,952644
6804,492188	-71,014923
6890,625000	-71,106125
6976,757812	-71,197357
7062,890625	-71,255096
7149,023438	-71,322960
7235,156250	-71,406502
7321,289062	-71,496597
7407,421875	-71,587395
7493,554688	-71,643196
7579,687500	-71,736832
7665,820312	-71,834122
7751,953125	-71,916992
7838,085938	-71,985489
7924,218750	-72,067558
8010,351562	-72,096252
8096,484375	-72,008575
8182,617188	-72,388245
8268,750000	-72,536034
8354,882812	-72,569138
8441,015625	-72,544266
8527,148438	-72,635612
8613,281250	-72,698700
8699,414062	-72,717819
8785,546875	-72,804337
8871,679688	-72,845734
8957,812500	-72,928093
9043,945312	-72,977318
9130,078125	-73,023834
9216,210938	-73,108101
9302,343750	-73,195930
9388,476562	-73,185715
9474,609375	-73,329453
9560,742188	-73,339554
9646,875000	-73,413055
9733,007812	-73,464775
9819,140625	-73,557404
9905,273438	-73,587326
9991,406250	-73,639481
10077,539062	-73,726784
10163,671875	-73,728020
10249,804688	-73,817253
10335,937500	-73,884850
10422,070312	-73,910202
10508,203125	-73,936661
10594,335938	-74,035942
10680,468750	-74,047310
10766,601562	-74,093765
10852,734375	-74,167793
10938,867188	-74,222717
11025,000000	-74,195724
11111,132812	-74,332016
11197,265625	-74,356361
11283,398438	-74,442276
11369,531250	-74,489571
11455,664062	-74,521881
11541,796875	-74,575401
11627,929688	-74,642311
11714,062500	-74,677895
11800,195312	-74,682373
11886,328125	-74,721436
11972,460938	-74,649796
12058,593750	-74,772758
12144,726562	-74,869888
12230,859375	-74,912735
12316,992188	-74,918327
12403,125000	-74,979202
12489,257812	-75,008804
12575,390625	-75,096237
12661,523438	-75,115173
12747,656250	-75,192955
12833,789062	-75,201317
12919,921875	-75,270126
13006,054688	-75,282333
13092,187500	-75,366440
13178,320312	-75,368309
13264,453125	-75,407494
13350,585938	-75,471954
13436,718750	-75,510658
13522,851562	-75,501297
13608,984375	-75,569160
13695,117188	-75,605995
13781,250000	-75,645744
13867,382812	-75,694618
13953,515625	-75,742935
14039,648438	-75,781685
14125,781250	-75,794823
14211,914062	-75,860695
14298,046875	-75,859589
14384,179688	-75,907623
14470,312500	-75,923050
14556,445312	-75,962517
14642,578125	-75,993889
