Fréquence (Hz)	Niveau (dB)
86,132812	-41,432667
172,265625	-22,148140
258,398438	-15,326494
344,531250	-15,696076
430,664062	-22,916143
516,796875	-32,826809
602,929688	-39,232033
689,062500	-40,305553
775,195312	-51,152069
861,328125	-54,562473
947,460938	-54,457439
1033,593750	-57,520641
1119,726562	-58,899441
1205,859375	-59,777237
1291,992188	-60,457363
1378,125000	-61,067234
1464,257812	-61,652374
1550,390625	-62,148270
1636,523438	-62,684090
1722,656250	-63,043385
1808,789062	-63,481083
1894,921875	-64,019524
1981,054688	-64,458870
2067,187500	-64,818779
2153,320312	-65,179230
2239,453125	-65,543930
2325,585938	-65,850471
2411,718750	-66,203407
2497,851562	-66,475655
2583,984375	-66,774849
2670,117188	-67,049355
2756,250000	-67,338303
2842,382812	-67,562225
2928,515625	-67,886436
3014,648438	-68,099274
3100,781250	-68,357246
3186,914062	-68,573250
3273,046875	-68,787514
3359,179688	-69,034218
3445,312500	-69,167664
3531,445312	-69,296532
3617,578125	-69,512337
3703,710938	-69,850052
3789,843750	-70,034569
3875,976562	-70,196503
3962,109375	-70,345802
4048,242188	-70,416801
4134,375000	-69,858498
4220,507812	-69,968513
4306,640625	-70,958740
4392,773438	-71,229897
4478,906250	-71,390327
4565,039062	-71,534241
4651,171875	-71,720985
4737,304688	-71,821083
4823,437500	-71,985909
4909,570312	-72,108009
4995,703125	-72,263550
5081,835938	-72,407425
5167,968750	-72,587379
5254,101562	-72,646507
5340,234375	-72,850792
5426,367188	-72,928810
5512,500000	-73,069778
5598,632812	-73,200836
5684,765625	-73,339630
5770,898438	-73,498466
5857,031250	-73,587791
5943,164062	-73,744644
6029,296875	-73,862206
6115,429688	-74,027092
6201,562500	-74,134270
6287,695312	-74,273773
6373,828125	-74,382858
6459,960938	-74,498466
6546,093750	-74,593369
6632,226562	-74,678482
6718,359375	-74,773285
6804,492188	-74,833107
6890,625000	-74,868324
6976,757812	-74,952339
7062,890625	-75,016174
7149,023438	-75,064339
7235,156250	-75,171631
7321,289062	-75,179543
7407,421875	-75,239754
7493,554688	-75,320465
7579,687500	-75,355614
7665,820312	-75,478546
7751,953125	-75,576416
7838,085938	-75,593109
7924,218750	-75,698563
8010,351562	-75,665726
8096,484375	-75,740883
8182,617188	-76,138618
8268,750000	-76,309746
8354,882812	-76,327988
8441,015625	-76,252670
8527,148438	-76,286568
8613,281250	-76,248711
8699,414062	-76,314346
8785,546875	-76,349915
8871,679688	-76,419106
8957,812500	-76,468330
9043,945312	-76,473915
9130,078125	-76,556427
9216,210938	-76,615646
9302,343750	-76,646194
9388,476562	-76,746262
9474,609375	-76,767639
9560,742188	-76,833694
9646,875000	-76,853470
9733,007812	-76,944824
9819,140625	-77,000877
9905,273438	-77,067802
9991,406250	-77,087311
10077,539062	-77,140495
10163,671875	-77,191200
10249,804688	-77,280952
10335,937500	-77,303436
10422,070312	-77,327934
10508,203125	-77,399551
10594,335938	-77,440788
10680,468750	-77,466400
10766,601562	-77,463524
10852,734375	-77,542702
10938,867188	-77,598976
11025,000000	-77,663956
11111,132812	-77,688683
11197,265625	-77,750298
11283,398438	-77,839706
11369,531250	-77,831299
11455,664062	-77,863373
11541,796875	-77,964302
11627,929688	-78,012619
11714,062500	-78,035683
11800,195312	-78,087341
11886,328125	-78,018608
