Fréquence (Hz)	Niveau (dB)
86,132812	-36,077236
172,265625	-19,918329
258,398438	-10,652892
344,531250	-11,303718
430,664062	-26,140188
516,796875	-29,331924
602,929688	-27,917662
689,062500	-27,039368
775,195312	-40,163193
861,328125	-47,736324
947,460938	-47,703476
1033,593750	-53,197803
1119,726562	-54,182949
1205,859375	-54,898815
1291,992188	-55,595963
1378,125000	-56,365330
1464,257812	-56,814709
1550,390625	-57,306366
1636,523438	-57,848274
1722,656250	-58,392513
1808,789062	-58,874256
1894,921875	-59,331608
1981,054688	-59,682190
2067,187500	-60,119736
2153,320312	-60,463650
2239,453125	-60,846066
2325,585938	-61,188976
2411,718750	-61,511120
2497,851562	-61,812881
2583,984375	-62,098976
2670,117188	-62,403103
2756,250000	-62,664528
2842,382812	-62,928326
2928,515625	-63,214203
3014,648438	-63,464890
3100,781250	-63,695683
3186,914062	-63,913143
3273,046875	-64,133705
3359,179688	-64,377533
3445,312500	-64,603203
3531,445312	-64,760460
3617,578125	-64,894455
3703,710938	-65,201050
3789,843750	-65,424118
3875,976562	-65,608276
3962,109375	-65,770157
4048,242188	-65,877998
4134,375000	-65,439957
4220,507812	-65,280045
4306,640625	-66,392120
4392,773438	-66,657898
4478,906250	-66,807823
4565,039062	-66,933975
4651,171875	-67,119698
4737,304688	-67,286598
4823,437500	-67,436371
4909,570312	-67,563660
4995,703125	-67,734337
5081,835938	-67,863617
5167,968750	-68,016731
5254,101562	-68,142227
5340,234375	-68,268654
5426,367188	-68,410019
5512,500000	-68,532936
5598,632812	-68,665382
5684,765625	-68,810226
5770,898438	-68,928574
5857,031250	-69,047157
5943,164062	-69,182579
6029,296875	-69,293877
6115,429688	-69,431366
6201,562500	-69,535973
6287,695312	-69,684563
6373,828125	-69,766457
6459,960938	-69,885139
6546,093750	-70,007057
6632,226562	-70,071548
6718,359375	-70,179977
6804,492188	-70,275574
6890,625000	-70,362175
6976,757812	-70,441231
7062,890625	-70,517662
7149,023438	-70,590431
7235,156250	-70,683632
7321,289062	-70,757980
7407,421875	-70,841988
7493,554688	-70,905663
7579,687500	-70,986275
7665,820312	-71,099487
7751,953125	-71,175217
7838,085938	-71,263023
7924,218750	-71,346817
8010,351562	-71,326607
8096,484375	-71,252953
8182,617188	-71,633720
8268,750000	-71,792023
8354,882812	-71,839851
8441,015625	-71,816956
8527,148438	-71,917290
8613,281250	-71,953751
8699,414062	-72,012154
8785,546875	-72,070267
8871,679688	-72,133469
8957,812500	-72,215775
9043,945312	-72,238670
9130,078125	-72,350639
9216,210938	-72,367416
9302,343750	-72,472145
9388,476562	-72,469879
9474,609375	-72,611565
9560,742188	-72,630249
9646,875000	-72,714546
9733,007812	-72,764709
9819,140625	-72,814537
9905,273438	-72,909126
9991,406250	-72,905762
10077,539062	-73,008858
10163,671875	-73,059677
10249,804688	-73,097076
10335,937500	-73,179550
10422,070312	-73,209381
10508,203125	-73,230423
10594,335938	-73,334274
10680,468750	-73,383430
10766,601562	-73,372040
10852,734375	-73,464577
10938,867188	-73,547401
11025,000000	-73,555817
11111,132812	-73,590942
