Fréquence (Hz)	Niveau (dB)
86,132812	-25,609247
172,265625	-20,265787
258,398438	-17,109964
344,531250	-19,085867
430,664062	-22,254873
516,796875	-29,450695
602,929688	-40,460121
689,062500	-43,695320
775,195312	-43,943192
861,328125	-47,517670
947,460938	-51,373146
1033,593750	-51,732151
1119,726562	-52,954544
1205,859375	-57,498596
1291,992188	-57,219559
1378,125000	-57,469112
1464,257812	-59,124737
1550,390625	-62,894512
1636,523438	-62,762585
1722,656250	-58,535484
1808,789062	-47,157234
1894,921875	-39,421833
1981,054688	-40,294079
2067,187500	-49,877151
2153,320312	-61,344288
2239,453125	-63,070049
2325,585938	-60,101250
2411,718750	-56,920708
2497,851562	-54,099888
2583,984375	-52,482971
2670,117188	-48,897141
2756,250000	-48,384693
2842,382812	-48,446186
2928,515625	-50,173489
3014,648438	-51,721035
3100,781250	-53,593147
3186,914062	-56,183071
3273,046875	-56,413105
3359,179688	-54,758575
3445,312500	-51,731876
3531,445312	-48,963306
3617,578125	-47,345661
3703,710938	-45,800545
3789,843750	-44,525505
3875,976562	-45,602848
3962,109375	-47,126652
4048,242188	-48,905567
4134,375000	-50,801208
4220,507812	-52,335361
4306,640625	-52,545948
4392,773438	-52,119125
4478,906250	-54,892220
4565,039062	-59,671127
4651,171875	-61,435352
4737,304688	-58,905056
4823,437500	-58,786018
4909,570312	-62,678852
4995,703125	-66,404076
5081,835938	-68,553810
5167,968750	-68,785065
5254,101562	-64,559914
5340,234375	-62,152946
5426,367188	-63,103394
5512,500000	-64,992096
5598,632812	-65,675987
5684,765625	-68,257378
5770,898438	-71,034164
5857,031250	-73,658569
5943,164062	-74,980827
6029,296875	-75,887863
6115,429688	-76,376907
6201,562500	-76,145157
6287,695312	-74,337357
6373,828125	-70,062973
6459,960938	-64,682442
6546,093750	-60,031815
6632,226562	-58,356678
6718,359375	-58,866791
6804,492188	-60,130516
6890,625000	-59,757282
6976,757812	-57,603493
7062,890625	-56,560989
7149,023438	-57,449627
7235,156250	-57,633293
7321,289062	-56,346607
7407,421875	-54,695797
7493,554688	-53,806480
7579,687500	-53,955975
7665,820312	-55,306435
7751,953125	-57,068489
7838,085938	-58,057732
7924,218750	-58,202305
8010,351562	-58,465885
8096,484375	-59,313408
8182,617188	-61,325809
8268,750000	-62,748348
8354,882812	-62,053745
8441,015625	-60,220978
8527,148438	-58,026306
8613,281250	-55,869789
8699,414062	-55,305389
8785,546875	-55,754929
8871,679688	-56,441235
8957,812500	-57,594643
9043,945312	-59,065540
9130,078125	-59,885754
9216,210938	-60,297546
9302,343750	-60,936954
9388,476562	-61,442585
9474,609375	-62,037544
9560,742188	-62,789482
9646,875000	-64,003281
9733,007812	-65,609489
9819,140625	-66,842453
9905,273438	-67,561356
9991,406250	-68,521828
10077,539062	-69,127701
10163,671875	-68,286568
10249,804688	-67,779076
10335,937500	-67,002625
10422,070312	-66,382057
10508,203125	-66,792664
10594,335938	-66,237389
10680,468750	-66,269775
10766,601562	-66,304237
10852,734375	-66,960869
10938,867188	-69,327393
11025,000000	-72,701126
11111,132812	-75,818672
11197,265625	-78,554337
11283,398438	-80,167732
11369,531250	-80,562042
11455,664062	-80,547615
11541,796875	-80,680450
11627,929688	-80,587929
11714,062500	-80,559669
11800,195312	-80,421738
11886,328125	-80,248421
11972,460938	-80,201759
12058,593750	-80,422394
