Fréquence (Hz)	Niveau (dB)
86,132812	-25,180801
172,265625	-21,558819
258,398438	-19,339138
344,531250	-21,519798
430,664062	-24,266184
516,796875	-30,661568
602,929688	-40,104893
689,062500	-43,036289
775,195312	-42,864002
861,328125	-45,666889
947,460938	-49,420986
1033,593750	-49,432873
1119,726562	-50,545910
1205,859375	-54,623096
1291,992188	-54,489193
1378,125000	-55,315025
1464,257812	-56,955765
1550,390625	-60,274757
1636,523438	-59,059711
1722,656250	-55,345776
1808,789062	-46,671638
1894,921875	-40,195805
1981,054688	-41,248672
2067,187500	-49,509857
2153,320312	-58,748287
2239,453125	-60,133087
2325,585938	-57,167278
2411,718750	-53,822052
2497,851562	-51,650356
2583,984375	-50,352180
2670,117188	-47,531925
2756,250000	-47,326294
2842,382812	-47,353024
2928,515625	-48,740932
3014,648438	-50,272533
3100,781250	-51,900257
3186,914062	-53,602177
3273,046875	-53,686836
3359,179688	-52,421665
3445,312500	-49,866333
3531,445312	-47,427444
3617,578125	-46,179493
3703,710938	-45,205441
3789,843750	-44,131287
3875,976562	-44,419903
3962,109375	-45,602695
4048,242188	-47,030563
4134,375000	-48,371155
4220,507812	-49,583046
4306,640625	-49,420311
4392,773438	-48,885525
4478,906250	-51,256424
4565,039062	-55,705643
4651,171875	-56,916107
4737,304688	-54,576782
4823,437500	-54,571186
4909,570312	-57,824440
4995,703125	-61,041103
5081,835938	-63,217617
5167,968750	-63,358059
5254,101562	-59,459393
5340,234375	-57,258156
5426,367188	-58,504398
5512,500000	-60,637726
5598,632812	-60,801590
5684,765625	-63,216476
5770,898438	-65,798996
5857,031250	-68,895432
5943,164062	-70,997635
6029,296875	-72,567238
6115,429688	-73,452675
6201,562500	-72,346535
6287,695312	-68,796455
6373,828125	-64,426094
6459,960938	-59,563026
6546,093750	-55,448193
6632,226562	-54,160172
6718,359375	-54,269413
6804,492188	-55,433216
6890,625000	-54,788128
6976,757812	-52,679039
7062,890625	-51,609699
7149,023438	-51,933758
7235,156250	-52,133537
7321,289062	-51,137661
7407,421875	-50,061497
7493,554688	-49,619949
7579,687500	-49,768517
7665,820312	-50,777676
7751,953125	-52,442085
7838,085938	-53,844181
7924,218750	-54,363991
8010,351562	-55,407280
8096,484375	-56,736202
8182,617188	-59,049206
8268,750000	-60,279308
8354,882812	-59,454304
8441,015625	-57,185898
8527,148438	-54,806034
8613,281250	-52,495247
8699,414062	-51,790787
8785,546875	-52,103352
8871,679688	-52,400860
8957,812500	-53,625381
9043,945312	-54,745487
9130,078125	-55,313354
9216,210938	-55,421379
9302,343750	-56,079594
9388,476562	-56,251648
9474,609375	-56,524246
9560,742188	-57,384769
9646,875000	-58,751705
9733,007812	-59,880169
9819,140625	-60,686779
9905,273438	-61,627338
9991,406250	-62,382141
10077,539062	-62,773876
10163,671875	-61,846844
10249,804688	-62,019672
10335,937500	-61,486137
10422,070312	-60,872032
10508,203125	-60,814407
10594,335938	-60,513115
10680,468750	-60,643120
10766,601562	-61,055695
10852,734375	-61,726948
10938,867188	-64,063927
11025,000000	-67,237885
11111,132812	-70,389519
11197,265625	-74,484512
11283,398438	-78,881737
11369,531250	-81,325516
11455,664062	-81,673759
11541,796875	-81,309921
11627,929688	-80,507294
11714,062500	-79,073914
11800,195312	-77,841164
11886,328125	-77,215958
11972,460938	-77,250114
12058,593750	-78,297043
12144,726562	-79,139748
12230,859375	-80,100204
12316,992188	-81,070587
12403,125000	-81,859650
12489,257812	-82,289192
12575,390625	-82,394981
12661,523438	-82,395836
12747,656250	-82,530922
12833,789062	-82,591103
12919,921875	-82,636086
13006,054688	-82,693909
13092,187500	-82,665993
13178,320312	-82,778549
13264,453125	-82,772858
13350,585938	-82,845863
13436,718750	-82,824226
13522,851562	-82,902313
13608,984375	-82,902740
13695,117188	-82,985245
13781,250000	-83,079559
13867,382812	-83,092636
13953,515625	-83,197342
14039,648438	-83,215034
14125,781250	-83,241844
14211,914062	-83,241989
14298,046875	-83,234764
14384,179688	-83,304771
14470,312500	-83,389305
14556,445312	-83,392517
14642,578125	-83,482254
14728,710938	-83,434891
14814,843750	-83,504959
14900,976562	-83,589241
14987,109375	-84,461700
15073,242188	-85,466209
15159,375000	-85,574951
15245,507812	-85,605499
15331,640625	-85,629913
15417,773438	-85,664139
15503,906250	-85,687614
15590,039062	-85,716858
15676,171875	-85,745163
15762,304688	-85,767601
15848,437500	-85,797058
15934,570312	-85,823578
16020,703125	-85,844299
16106,835938	-85,874931
16192,968750	-85,895081
16279,101562	-85,919167
16365,234375	-85,945747
16451,367188	-85,967140
16537,500000	-85,988396
16623,632812	-86,010735
16709,765625	-86,036125
16795,898438	-86,053291
16882,031250	-86,075989
16968,164062	-86,097435
17054,296875	-86,117912
17140,429688	-86,138855
17226,562500	-86,157066
17312,695312	-86,175941
17398,828125	-86,197426
17484,960938	-86,214264
17571,093750	-86,230392
17657,226562	-86,251656
17743,359375	-86,266953
17829,492188	-86,285797
17915,625000	-86,295685
18001,757812	-86,321861
18087,890625	-86,332451
18174,023438	-86,348320
18260,156250	-86,363251
18346,289062	-86,377434
18432,421875	-86,395607
18518,554688	-86,406746
18604,687500	-86,420425
18690,820312	-86,432930
18776,953125	-86,449974
18863,085938	-86,456390
18949,218750	-86,472786
19035,351562	-86,484169
19121,484375	-86,496117
19207,617188	-86,508369
19293,750000	-86,513985
19379,882812	-86,534988
19466,015625	-86,534843
19552,148438	-86,549728
19638,281250	-86,555946
19724,414062	-86,567894
19810,546875	-86,576271
19896,679688	-86,584221
19982,812500	-86,592926
20068,945312	-86,601410
20155,078125	-86,608109
20241,210938	-86,614090
20327,343750	-86,623756
20413,476562	-86,627266
20499,609375	-86,634384
20585,742188	-86,643028
20671,875000	-86,644234
20758,007812	-86,653542
20844,140625	-86,655266
20930,273438	-86,659256
21016,406250	-86,666618
21102,539062	-86,668930
21188,671875	-86,672005
21274,804688	-86,676094
21360,937500	-86,679268
21447,070312	-86,679344
21533,203125	-86,683632
21619,335938	-86,683052
21705,468750	-86,688858
21791,601562	-86,687607
21877,734375	-86,688332
21963,867188	-86,683479
