Fréquence (Hz)	Niveau (dB)
86,132812	-24,470459
172,265625	-22,394014
258,398438	-21,310200
344,531250	-23,855549
430,664062	-26,199289
516,796875	-31,528202
602,929688	-39,535240
689,062500	-42,399090
775,195312	-41,585133
861,328125	-43,583168
947,460938	-47,091888
1033,593750	-46,947144
1119,726562	-47,720478
1205,859375	-50,672997
1291,992188	-51,109966
1378,125000	-52,549240
1464,257812	-53,967171
1550,390625	-55,352760
1636,523438	-54,163105
1722,656250	-51,975819
1808,789062	-46,544971
1894,921875	-41,370583
1981,054688	-41,808842
2067,187500	-48,083252
2153,320312	-54,974113
2239,453125	-56,638157
2325,585938	-54,480423
2411,718750	-51,314373
2497,851562	-49,466370
2583,984375	-48,760334
2670,117188	-46,733643
2756,250000	-46,314396
2842,382812	-46,315029
2928,515625	-47,410152
3014,648438	-48,765942
3100,781250	-49,793896
3186,914062	-51,117546
3273,046875	-51,229546
3359,179688	-50,246204
3445,312500	-48,167336
3531,445312	-46,117531
3617,578125	-45,170734
3703,710938	-44,728443
3789,843750	-43,582630
3875,976562	-43,313087
3962,109375	-44,055824
4048,242188	-45,311832
4134,375000	-46,482208
4220,507812	-46,866402
4306,640625	-46,510921
4392,773438	-45,755539
4478,906250	-47,522236
4565,039062	-51,089695
4651,171875	-52,600861
4737,304688	-50,764065
4823,437500	-50,458527
4909,570312	-52,748974
4995,703125	-55,017780
5081,835938	-56,643955
5167,968750	-57,323231
5254,101562	-54,820591
5340,234375	-52,475143
5426,367188	-53,257141
5512,500000	-55,487518
5598,632812	-55,568058
5684,765625	-57,059765
5770,898438	-59,145687
5857,031250	-61,662773
5943,164062	-63,961895
6029,296875	-65,304237
6115,429688	-65,666145
6201,562500	-64,846405
6287,695312	-62,572411
6373,828125	-59,028774
6459,960938	-55,102516
6546,093750	-51,258247
6632,226562	-50,046700
6718,359375	-50,020962
6804,492188	-50,836178
6890,625000	-50,257294
6976,757812	-48,445934
7062,890625	-46,872189
7149,023438	-47,026684
7235,156250	-47,215374
7321,289062	-46,736050
7407,421875	-46,271145
7493,554688	-46,031452
7579,687500	-46,117870
7665,820312	-46,950035
7751,953125	-48,789551
7838,085938	-50,288166
7924,218750	-51,566170
8010,351562	-53,129871
8096,484375	-55,101807
8182,617188	-57,249447
8268,750000	-58,733742
8354,882812	-57,325832
8441,015625	-55,348816
8527,148438	-52,759933
8613,281250	-50,317169
8699,414062	-49,305290
8785,546875	-49,118103
8871,679688	-49,017933
8957,812500	-49,268070
9043,945312	-50,035137
9130,078125	-50,385647
9216,210938	-50,704609
9302,343750	-51,168129
9388,476562	-51,470287
9474,609375	-51,396400
9560,742188	-51,869370
9646,875000	-52,347336
9733,007812	-53,405144
9819,140625	-54,222893
9905,273438	-54,837757
9991,406250	-55,751450
10077,539062	-55,819016
10163,671875	-55,521786
10249,804688	-55,211620
10335,937500	-55,204338
10422,070312	-54,544991
10508,203125	-54,697060
10594,335938	-54,728481
10680,468750	-54,612247
10766,601562	-55,273708
10852,734375	-55,293591
10938,867188	-56,873234
11025,000000	-59,343266
11111,132812	-61,971516
11197,265625	-65,199730
11283,398438	-70,050377
11369,531250	-75,370224
11455,664062	-78,896736
11541,796875	-77,432709
11627,929688	-74,737236
11714,062500	-72,180000
11800,195312	-70,605797
11886,328125	-69,378975
11972,460938	-68,706848
12058,593750	-69,093506
12144,726562	-70,018013
12230,859375	-71,094177
12316,992188	-73,152130
12403,125000	-75,672745
12489,257812	-77,584488
12575,390625	-79,049538
12661,523438	-80,830635
12747,656250	-82,360580
12833,789062	-83,118126
12919,921875	-83,200935
13006,054688	-83,345032
13092,187500	-83,338234
13178,320312	-83,275024
13264,453125	-83,258850
13350,585938	-83,311562
13436,718750	-83,287964
13522,851562	-83,410988
13608,984375	-83,515732
13695,117188	-83,605659
13781,250000	-83,621338
13867,382812	-83,787361
13953,515625	-83,847939
14039,648438	-83,929054
14125,781250	-83,987778
14211,914062	-84,041168
14298,046875	-83,975967
14384,179688	-84,051239
14470,312500	-84,095207
14556,445312	-84,153328
14642,578125	-84,193291
14728,710938	-84,235359
14814,843750	-84,214569
14900,976562	-84,369835
14987,109375	-85,372047
15073,242188	-86,738235
15159,375000	-86,866501
15245,507812	-86,903839
15331,640625	-86,928253
15417,773438	-86,966248
15503,906250	-86,992783
15590,039062	-87,016289
15676,171875	-87,054672
15762,304688	-87,077667
15848,437500	-87,098503
15934,570312	-87,135681
16020,703125	-87,157265
16106,835938	-87,183632
16192,968750	-87,207100
16279,101562	-87,236893
16365,234375	-87,260529
16451,367188	-87,281509
16537,500000	-87,306328
16623,632812	-87,330269
16709,765625	-87,354271
16795,898438	-87,376572
16882,031250	-87,399529
16968,164062	-87,418083
17054,296875	-87,441818
17140,429688	-87,461258
17226,562500	-87,481400
17312,695312	-87,499489
17398,828125	-87,527306
17484,960938	-87,538368
17571,093750	-87,559586
17657,226562	-87,580261
17743,359375	-87,597305
17829,492188	-87,612419
17915,625000	-87,629333
18001,757812	-87,651245
18087,890625	-87,664177
18174,023438	-87,681755
18260,156250	-87,692810
18346,289062	-87,712296
18432,421875	-87,727554
18518,554688	-87,742615
18604,687500	-87,755539
18690,820312	-87,767410
18776,953125	-87,784966
18863,085938	-87,793282
18949,218750	-87,807617
19035,351562	-87,825615
19121,484375	-87,827736
19207,617188	-87,848396
19293,750000	-87,854836
19379,882812	-87,863441
19466,015625	-87,879433
19552,148438	-87,887421
19638,281250	-87,899803
19724,414062	-87,904961
19810,546875	-87,916641
19896,679688	-87,923508
19982,812500	-87,935265
20068,945312	-87,938202
20155,078125	-87,950073
20241,210938	-87,959221
20327,343750	-87,962196
20413,476562	-87,969208
20499,609375	-87,978401
20585,742188	-87,981483
20671,875000	-87,988304
20758,007812	-87,992676
20844,140625	-87,999680
20930,273438	-88,002304
21016,406250	-88,009636
21102,539062	-88,008812
21188,671875	-88,018143
21274,804688	-88,016739
21360,937500	-88,019081
21447,070312	-88,026901
21533,203125	-88,024681
21619,335938	-88,028152
21705,468750	-88,028931
21791,601562	-88,027763
21877,734375	-88,035271
21963,867188	-88,026863
