Fréquence (Hz)	Niveau (dB)
86,132812	-36,850761
172,265625	-19,619518
258,398438	-10,700027
344,531250	-11,366565
430,664062	-25,860638
516,796875	-30,378246
602,929688	-29,345659
689,062500	-28,373510
775,195312	-41,071751
861,328125	-47,502583
947,460938	-47,330639
1033,593750	-53,175159
1119,726562	-54,303646
1205,859375	-55,052635
1291,992188	-55,705322
1378,125000	-56,501556
1464,257812	-56,949738
1550,390625	-57,451279
1636,523438	-58,004406
1722,656250	-58,530182
1808,789062	-58,991669
1894,921875	-59,455513
1981,054688	-59,847752
2067,187500	-60,224735
2153,320312	-60,588257
2239,453125	-60,961090
2325,585938	-61,291702
2411,718750	-61,623798
2497,851562	-61,926514
2583,984375	-62,218147
2670,117188	-62,498837
2756,250000	-62,774044
2842,382812	-63,051308
2928,515625	-63,323555
3014,648438	-63,554482
3100,781250	-63,814003
3186,914062	-64,024864
3273,046875	-64,260567
3359,179688	-64,468582
3445,312500	-64,731468
3531,445312	-64,850784
3617,578125	-65,013687
3703,710938	-65,311012
3789,843750	-65,523941
3875,976562	-65,705696
3962,109375	-65,883194
4048,242188	-65,974068
4134,375000	-65,524796
4220,507812	-65,375137
4306,640625	-66,502121
4392,773438	-66,761406
4478,906250	-66,923050
4565,039062	-67,039894
4651,171875	-67,243523
4737,304688	-67,370262
4823,437500	-67,549988
4909,570312	-67,663383
4995,703125	-67,835403
5081,835938	-67,971039
5167,968750	-68,120140
5254,101562	-68,247124
5340,234375	-68,369652
5426,367188	-68,515587
5512,500000	-68,638000
5598,632812	-68,766838
5684,765625	-68,917007
5770,898438	-69,017166
5857,031250	-69,169846
5943,164062	-69,277199
6029,296875	-69,407753
6115,429688	-69,542595
6201,562500	-69,649734
6287,695312	-69,760239
6373,828125	-69,888802
6459,960938	-69,977226
6546,093750	-70,116196
6632,226562	-70,180077
6718,359375	-70,289139
6804,492188	-70,372643
6890,625000	-70,456268
6976,757812	-70,531677
7062,890625	-70,644516
7149,023438	-70,685349
7235,156250	-70,797432
7321,289062	-70,850990
7407,421875	-70,960686
7493,554688	-70,999207
7579,687500	-71,092972
7665,820312	-71,202560
7751,953125	-71,270927
7838,085938	-71,352074
7924,218750	-71,443634
8010,351562	-71,406540
8096,484375	-71,344719
8182,617188	-71,739456
8268,750000	-71,884636
8354,882812	-71,933205
8441,015625	-71,968933
8527,148438	-71,984787
8613,281250	-72,049347
8699,414062	-72,093193
8785,546875	-72,184219
8871,679688	-72,224518
8957,812500	-72,311325
9043,945312	-72,329948
9130,078125	-72,445320
9216,210938	-72,438004
9302,343750	-72,559296
9388,476562	-72,596878
9474,609375	-72,675072
9560,742188	-72,712891
9646,875000	-72,786736
9733,007812	-72,850143
9819,140625	-72,928551
9905,273438	-72,947853
9991,406250	-73,022057
10077,539062	-73,085129
10163,671875	-73,131790
10249,804688	-73,193596
10335,937500	-73,250046
10422,070312	-73,291191
10508,203125	-73,317230
10594,335938	-73,404503
10680,468750	-73,426117
10766,601562	-73,485710
10852,734375	-73,542366
10938,867188	-73,584694
11025,000000	-73,630928
11111,132812	-73,706963
11197,265625	-73,769142
11283,398438	-73,796036
11369,531250	-73,843681
11455,664062	-73,926643
11541,796875	-73,941582
11627,929688	-74,009819
11714,062500	-74,072159
11800,195312	-74,087120
11886,328125	-74,083107
11972,460938	-73,990349
12058,593750	-74,163803
12144,726562	-74,277046
12230,859375	-74,283409
12316,992188	-74,336372
12403,125000	-74,388290
12489,257812	-74,393181
12575,390625	-74,499405
12661,523438	-74,494759
12747,656250	-74,570381
12833,789062	-74,611893
12919,921875	-74,619789
13006,054688	-74,678848
13092,187500	-74,723213
13178,320312	-74,789795
13264,453125	-74,779778
13350,585938	-74,856201
13436,718750	-74,872787
13522,851562	-74,905502
13608,984375	-74,995178
13695,117188	-74,984741
13781,250000	-75,036781
13867,382812	-75,084999
13953,515625	-75,128746
14039,648438	-75,196106
14125,781250	-75,185265
14211,914062	-75,230530
14298,046875	-75,269264
14384,179688	-75,263649
14470,312500	-75,307762
14556,445312	-75,358353
14642,578125	-75,386093
14728,710938	-75,368149
14814,843750	-75,422615
14900,976562	-75,452568
14987,109375	-75,741234
15073,242188	-75,991592
15159,375000	-76,047050
15245,507812	-76,069336
15331,640625	-76,102684
15417,773438	-76,126366
15503,906250	-76,154961
15590,039062	-76,182610
15676,171875	-76,203629
15762,304688	-76,237679
15848,437500	-76,254417
15934,570312	-76,287239
16020,703125	-76,304581
16106,835938	-76,334274
16192,968750	-76,357155
16279,101562	-76,377426
16365,234375	-76,406174
16451,367188	-76,420853
16537,500000	-76,453201
16623,632812	-76,465591
16709,765625	-76,494751
16795,898438	-76,510193
16882,031250	-76,533867
16968,164062	-76,554840
17054,296875	-76,570061
17140,429688	-76,598259
17226,562500	-76,607712
17312,695312	-76,634270
17398,828125	-76,646881
17484,960938	-76,669182
17571,093750	-76,686256
17657,226562	-76,701714
17743,359375	-76,723267
17829,492188	-76,733780
17915,625000	-76,757271
18001,757812	-76,765472
18087,890625	-76,788773
18174,023438	-76,798515
18260,156250	-76,815308
18346,289062	-76,832184
18432,421875	-76,840042
18518,554688	-76,862312
18604,687500	-76,867012
18690,820312	-76,888695
18776,953125	-76,895073
18863,085938	-76,910706
18949,218750	-76,922226
19035,351562	-76,932953
19121,484375	-76,948441
19207,617188	-76,952667
19293,750000	-76,972519
19379,882812	-76,973259
19466,015625	-76,991264
19552,148438	-76,996391
19638,281250	-77,007225
19724,414062	-77,016907
19810,546875	-77,022758
19896,679688	-77,036583
19982,812500	-77,037750
20068,945312	-77,052422
20155,078125	-77,053467
20241,210938	-77,064873
20327,343750	-77,070457
20413,476562	-77,075310
20499,609375	-77,086578
20585,742188	-77,083290
20671,875000	-77,100273
20758,007812	-77,093407
20844,140625	-77,107269
20930,273438	-77,108215
21016,406250	-77,111420
21102,539062	-77,117722
21188,671875	-77,117188
21274,804688	-77,125862
21360,937500	-77,121155
21447,070312	-77,131882
21533,203125	-77,126823
21619,335938	-77,133522
21705,468750	-77,132805
21791,601562	-77,134033
21877,734375	-77,138672
21963,867188	-77,130852
